bps_model_id,class,max_height_ft,max_diameter_in
10460_1_7_9,C,NA,33
10460_21,A,NA,5
10460_21,B,NA,9
10460_21,C,NA,9
10460_21,D,NA,21
10460_21,E,NA,21
10470_10_19,A,NA,5
10470_10_19,B,NA,21
10470_10_19,C,NA,21
10470_10_19,D,NA,33
10470_10_19,E,NA,33
10470_8_9,A,NA,5
10470_8_9,B,NA,21
10470_8_9,C,NA,21
10470_8_9,D,NA,33
10470_8_9,E,NA,33
10472_10_19,A,NA,5
10472_10_19,B,NA,9
10472_10_19,C,NA,9
10472_10_19,D,NA,33
10472_10_19,E,NA,33
10480_29,A,NA,5
10480_29,B,NA,21
10480_29,C,NA,21
10480_29,D,NA,33
10480_29,E,NA,33
10490_16_22,A,4.5,NA
10490_16_22,B,NA,9
10490_16_22,C,NA,21
10490_19_20_21_23_28_29,A,4.5,NA
10490_19_20_21_23_28_29,B,NA,5
10490_19_20_21_23_28_29,C,NA,21
10500_16_23_28,A,NA,NA
10500_16_23_28,B,NA,9
10500_16_23_28,C,NA,21
10500_18,A,NA,5
10500_18,B,NA,9
10500_18,C,NA,21
10500_22,A,NA,5
10500_22,B,NA,9
10500_22,C,NA,21
10510_15_16_17_22_23_24_25,A,NA,5
10510_15_16_17_22_23_24_25,B,NA,9
10510_15_16_17_22_23_24_25,C,NA,9
10510_15_16_17_22_23_24_25,D,NA,33
10510_15_16_17_22_23_24_25,E,NA,33
10510_18_21,A,4.5,NA
10510_18_21,B,NA,9
10510_18_21,C,NA,9
10510_18_21,D,NA,33
10510_18_21,E,NA,33
10510_27,A,NA,5
10510_27,B,NA,9
10510_27,C,NA,9
10510_27,D,NA,33
10510_27,E,NA,33
10510_28,A,4.5,NA
10510_28,B,NA,21
10510_28,C,NA,21
10510_28,D,NA,33
10510_28,E,NA,33
10510_29,A,NA,5
10510_29,B,NA,9
10510_29,C,NA,9
10510_29,D,NA,33
10510_29,E,NA,33
10510_6,A,NA,5
10510_6,B,NA,9
10510_6,C,NA,9
10510_6,D,NA,33
10510_6,E,NA,33
10520_12,A,4.5,NA
10520_12,B,NA,21
10520_12,C,NA,21
10520_12,D,NA,33
10520_12,E,NA,33
10520_13,A,4.5,NA
10520_13,B,NA,21
10520_13,C,NA,21
10520_13,D,NA,33
10520_13,E,NA,33
10520_15,A,4.5,NA
10520_15,B,NA,21
10520_15,C,NA,21
10520_15,D,NA,33
10520_15,E,NA,33
10520_16_23_24,A,4.5,NA
10520_16_23_24,B,NA,21
10520_16_23_24,C,NA,21
10520_16_23_24,D,NA,33
10520_16_23_24,E,NA,33
10520_17,A,4.5,NA
10520_17,B,NA,21
10520_17,C,NA,21
10520_17,D,NA,33
10520_17,E,NA,33
10520_18,A,4.5,NA
10520_18,B,NA,21
10520_18,C,NA,21
10520_18,D,NA,33
10520_18,E,NA,33
10520_21,A,4.5,NA
10520_21,B,NA,21
10520_21,C,NA,21
10520_21,D,NA,33
10520_21,E,NA,33
10520_25,A,4.5,NA
10520_25,B,NA,21
10520_25,C,NA,21
10520_25,D,NA,33
10520_25,E,NA,33
10520_27,A,4.5,NA
10520_27,B,NA,21
10520_27,C,NA,21
10520_27,D,NA,33
10520_27,E,NA,33
10520_28,A,NA,5
10520_28,B,NA,21
10520_28,C,NA,21
10520_28,D,NA,NA
10520_28,E,NA,33
10530_10_19,A,NA,5
10530_10_19,B,NA,21
10530_10_19,C,NA,21
10530_10_19,D,NA,33
10530_10_19,E,NA,33
10531_1_7_8_9,A,NA,5
10531_1_7_8_9,B,NA,20
10531_1_7_8_9,C,NA,20
10531_1_7_8_9,D,NA,20
10531_1_7_8_9,E,NA,20
10532_7_9,A,NA,5
10532_7_9,B,NA,21
10532_7_9,C,NA,21
10532_7_9,D,NA,33
10532_7_9,E,NA,33
10540_13_14,A,NA,9
10540_13_14,B,NA,21
10540_13_14,C,NA,21
10540_13_14,D,NA,33
10540_13_14,E,NA,33
10540_15_25,A,NA,NA
10540_15_25,B,NA,21
10540_15_25,C,NA,21
10540_15_25,D,NA,21
10540_15_25,E,NA,33
10540_16_23_24,A,NA,9
10540_16_23_24,B,NA,21
10540_16_23_24,C,NA,21
10540_16_23_24,D,NA,33
10540_16_23_24,E,NA,33
10540_17,A,NA,9
10540_17,B,NA,21
10540_17,C,NA,21
10540_17,D,NA,33
10540_17,E,NA,33
10540_20,A,NA,NA
10540_20,B,NA,9
10540_20,C,NA,9
10540_20,D,NA,33
10540_20,E,NA,21
10540_22,A,NA,5
10540_22,B,NA,5
10540_22,C,NA,21
10540_22,D,NA,33
10540_22,E,NA,33
10540_26,A,NA,NA
10540_26,B,NA,21
10540_26,C,NA,21
10540_26,D,NA,21
10540_26,E,NA,33
10540_28,A,NA,9
10540_28,B,NA,21
10540_28,C,NA,21
10540_28,D,NA,33
10540_28,E,NA,33
10540_29,A,4.5,NA
10540_29,B,NA,9
10540_29,C,NA,9
10540_29,D,NA,33
10540_29,E,NA,21
10540_33,A,NA,9
10540_33,B,NA,21
10540_33,C,NA,21
10540_33,D,NA,33
10540_33,E,NA,33
10541_27,A,4.5,NA
10541_27,B,NA,21
10541_27,C,NA,21
10541_27,D,NA,33
10541_27,E,NA,33
10542_27,A,NA,9
10542_27,B,NA,21
10542_27,C,NA,21
10542_27,D,NA,33
10542_27,E,NA,33
10550_10_19,A,NA,5
10550_10_19,B,NA,21
10550_10_19,C,NA,21
10550_10_19,D,NA,33
10550_10_19,E,NA,33
10550_15_28,A,NA,9
10550_15_28,B,NA,21
10550_15_28,C,NA,21
10550_15_28,D,NA,33
10550_15_28,E,NA,33
10550_16_23_24,A,NA,5
10550_16_23_24,B,NA,21
10550_16_23_24,C,NA,21
10550_16_23_24,D,NA,33
10550_17,A,NA,5
10550_17,B,NA,21
10550_17,C,NA,21
10550_17,D,NA,33
10550_18,A,NA,5
10550_18,B,NA,21
10550_18,C,NA,21
10550_18,D,NA,33
10550_1_8_9,A,NA,NA
10550_1_8_9,B,NA,21
10550_1_8_9,C,NA,21
10550_1_8_9,D,NA,33
10550_1_8_9,E,NA,33
10550_20,A,NA,5
10550_20,B,NA,9
10550_20,C,NA,21
10550_20,D,NA,33
10550_21_22,A,NA,5
10550_21_22,B,NA,9
10550_21_22,C,NA,21
10550_21_22,D,NA,33
10550_27,A,NA,9
10550_27,B,NA,21
10550_27,C,NA,21
10550_27,D,NA,33
10550_27,E,NA,33
10550_29,A,4.5,NA
10550_29,B,NA,5
10550_29,C,NA,9
10550_29,D,NA,21
10550_29,E,NA,9
10560_10_19,A,NA,5
10560_10_19,B,NA,9
10560_10_19,C,NA,9
10560_10_19,D,NA,33
10560_15_28,A,NA,9
10560_15_28,B,NA,21
10560_15_28,C,NA,21
10560_15_28,D,NA,33
10560_15_28,E,NA,33
10560_16_23,A,NA,5
10560_16_23,B,NA,21
10560_16_23,C,NA,21
10560_16_23,D,NA,33
10560_18,A,NA,5
10560_18,B,NA,21
10560_18,C,NA,21
10560_18,D,NA,33
10560_1_7_8_9,A,NA,5
10560_1_7_8_9,B,NA,15
10560_1_7_8_9,C,NA,9
10560_1_7_8_9,D,NA,21
10560_1_7_8_9,E,NA,33
10560_20,A,NA,5
10560_20,B,NA,9
10560_20,C,NA,9
10560_20,D,NA,21
10560_20,E,NA,21
10560_21_22,NA,NA,NA
10560_29,A,NA,5
10560_29,B,NA,9
10560_29,C,NA,9
10560_29,D,NA,33
10560_29,E,NA,33
10570_12_16,NA,NA,NA
10570_18,A,NA,5
10570_18,B,NA,9
10570_18,C,NA,33
10570_23,NA,NA,NA
10570_28,NA,NA,NA
10570_29,NA,NA,NA
10580_12,A,NA,5
10580_12,B,NA,21
10580_12,C,NA,21
10580_12,D,NA,33
10580_12,E,NA,33
10580_4,A,4.5,NA
10580_4,B,NA,21
10580_4,C,NA,21
10580_4,D,NA,33
10580_4,E,NA,33
10580_7,A,4.5,NA
10580_7,B,NA,9
10580_7,C,NA,21
10581_6,A,NA,NA
10581_6,B,NA,NA
10581_6,C,NA,NA
10581_6,D,NA,NA
10581_6,E,NA,NA
10582_6,A,4.5,NA
10582_6,B,NA,21
10582_6,C,NA,21
10582_6,D,NA,33
10582_6,E,NA,33
10590_24_28,NA,NA,NA
10590_25,NA,NA,NA
10590_26,A,NA,NA
10590_26,B,NA,9
10590_26,C,NA,21
10590_26,D,NA,NA
10590_27_33,NA,NA,NA
10600_1_2_7,A,NA,9
10600_1_2_7,B,NA,21
10600_1_2_7,C,NA,21
10600_1_2_7,D,NA,33
10600_1_2_7,E,NA,33
10610_13,NA,NA,NA
10610_15_25,A,NA,5
10610_15_25,B,NA,9
10610_15_25,C,NA,21
10610_15_25,D,NA,21
10610_15_25,E,NA,33
10610_18,A,NA,5
10610_18,B,NA,9
10610_18,C,NA,9
10610_18,D,NA,21
10610_18,E,NA,33
10610_20_29,NA,NA,NA
10610_22_27_28,NA,NA,NA
10610_6,A,NA,5
10610_6,B,NA,NA
10610_6,C,NA,21
10610_6,D,NA,33
10610_8_9_17,NA,NA,NA
10611_16_23_24,NA,NA,NA
10612_16_23,NA,NA,NA
10620_10_19_21_29_31,NA,NA,NA
10620_13,NA,NA,NA
10620_16_23,A,4.5,NA
10620_16_23,B,NA,5
10620_16_23,C,NA,5
10620_16_23,D,NA,21
10620_16_23,E,NA,21
10620_22_28,A,NA,NA
10620_22_28,B,NA,NA
10620_22_28,C,NA,NA
10620_22_28,D,NA,21
10620_6_12_17_18,A,4.5,NA
10620_6_12_17_18,B,NA,5
10620_6_12_17_18,C,NA,5
10620_6_12_17_18,D,NA,21
10620_6_12_17_18,E,NA,21
10620_7_9,A,NA,NA
10620_7_9,B,NA,NA
10620_7_9,C,NA,NA
10620_7_9,D,NA,NA
10620_7_9,E,NA,NA
10630_1,A,NA,NA
10630_1,B,NA,NA
10630_2_7,A,NA,NA
10630_2_7,B,NA,NA
10640_15_16_17_23_24_27_28,A,NA,NA
10640_15_16_17_23_24_27_28,B,NA,NA
10640_15_16_17_23_24_27_28,C,NA,NA
10650_1_8_9_10,A,NA,NA
10650_1_8_9_10,B,NA,NA
10650_1_8_9_10,C,NA,NA
10660_16_23_24,A,NA,NA
10660_16_23_24,B,NA,NA
10660_22,A,NA,NA
10660_29,A,NA,NA
10660_29,B,NA,NA
10670_6,A,NA,NA
10670_6,B,NA,NA
10680_1_7,A,NA,NA
10700_10_19_28,A,NA,NA
10700_10_19_28,B,NA,NA
10700_16,A,NA,NA
10700_16,B,NA,NA
10700_21,A,NA,NA
10700_21,B,NA,NA
10710_6,A,NA,NA
10710_6,B,NA,NA
10720_22_29,A,NA,NA
10720_22_29,B,NA,NA
10720_28,A,NA,NA
10720_28,B,NA,NA
10740_25_26,A,NA,NA
10740_25_26,B,NA,NA
10750_25,A,NA,NA
10750_25,B,NA,NA
10750_25,C,NA,21
10750_26,A,NA,NA
10750_26,B,NA,NA
10750_26,C,NA,NA
10760_25,A,NA,NA
10760_25,B,NA,NA
10760_26,A,NA,NA
10770_15,A,NA,NA
10770_15,B,NA,NA
10770_25_26,A,NA,NA
10770_25_26,B,NA,NA
10780_15,A,NA,NA
10780_15,B,NA,5
10780_16_23_24_25,A,NA,NA
10780_16_23_24_25,B,NA,NA
10780_16_23_24_25,C,NA,NA
10790_13,A,NA,NA
10790_13,B,NA,NA
10790_13,C,4.5,NA
10790_13,D,NA,9
10790_6_9_10_12_16_17_18,A,NA,NA
10790_6_9_10_12_16_17_18,B,NA,NA
10790_6_9_10_12_16_17_18,C,4.5,NA
10790_6_9_10_12_16_17_18,D,NA,9
10800_10_19,A,NA,NA
10800_10_19,B,NA,NA
10800_10_19,C,NA,NA
10800_13_14,A,NA,NA
10800_13_14,B,NA,NA
10800_13_14,C,NA,NA
10800_13_14,D,NA,5
10800_13_14,E,NA,NA
10800_1_7_8_9,A,NA,NA
10800_1_7_8_9,B,NA,NA
10800_1_7_8_9,C,NA,NA
10801_21_22_28,A,NA,NA
10801_21_22_28,B,NA,NA
10801_21_22_28,C,NA,NA
10802_21_22_28,A,NA,NA
10802_21_22_28,B,NA,NA
10802_21_22_28,C,NA,NA
10803_6_12_15_16_17_18_23_24_25,A,NA,NA
10803_6_12_15_16_17_18_23_24_25,B,NA,NA
10803_6_12_15_16_17_18_23_24_25,C,NA,NA
10804_6_12_15_16_17_18_23_24_25,A,NA,NA
10804_6_12_15_16_17_18_23_24_25,B,NA,NA
10804_6_12_15_16_17_18_23_24_25,C,NA,NA
10804_6_12_15_16_17_18_23_24_25,D,NA,5
10804_6_12_15_16_17_18_23_24_25,E,NA,NA
10810_15_16_23_24_28,A,NA,NA
10810_15_16_23_24_28,B,NA,NA
10810_15_16_23_24_28,C,NA,NA
10810_18_19_21,A,NA,NA
10810_18_19_21,B,NA,NA
10810_22,A,NA,NA
10810_22,B,NA,NA
10810_27_33,A,NA,NA
10810_27_33,B,NA,NA
10810_27_33,C,NA,NA
10810_6_12_13_17,A,NA,NA
10810_6_12_13_17,B,NA,NA
10810_6_12_13_17,C,NA,NA
10810_7_8_9,A,NA,NA
10810_7_8_9,B,NA,NA
10810_7_8_9,C,NA,NA
10820_12_15_16_17_23_24,A,NA,NA
10820_12_15_16_17_23_24,B,NA,NA
10820_14,A,NA,NA
10820_14,B,NA,NA
10820_4_13,A,NA,NA
10820_4_13,B,NA,NA
10820_6,A,NA,NA
10820_6,B,NA,NA
10830_1,A,NA,NA
10830_1,B,NA,NA
10840_1,A,NA,NA
10850_20,A,NA,NA
10850_20,B,NA,NA
10850_20,C,NA,NA
10850_29_30,A,NA,NA
10850_29_30,B,NA,NA
10850_29_30,C,NA,NA
10860_13_16_17_18_21_23,A,NA,NA
10860_13_16_17_18_21_23,B,NA,NA
