bps_model_id,class,max_height_ft,max_diameter_in
13210_61_63,B,NA,21
13210_61_63,C,NA,33
13210_61_63,D,NA,33
13210_61_63,E,NA,33
13210_62,A,NA,5
13210_62,B,NA,9
13210_62,C,NA,33
13220_45,A,NA,5
13220_45,B,NA,21
13220_45,C,NA,33
13220_45,D,NA,33
13230_32_36_37_44_45_98,A,4.5,NA
13230_32_36_37_44_45_98,B,NA,21
13230_32_36_37_44_45_98,C,NA,21
13230_32_36_37_44_45_98,D,NA,33
13230_32_36_37_44_45_98,E,NA,33
13240_60_65_66,A,4.5,NA
13240_60_65_66,B,NA,9
13240_60_65_66,C,NA,9
13240_60_65_66,D,NA,21
13240_60_65_66,E,NA,21
13250_46_47_48,A,NA,5
13250_46_47_48,B,NA,21
13250_46_47_48,C,NA,21
13250_46_47_48,D,NA,33
13250_46_47_48,E,NA,33
13260_47,A,NA,9
13260_47,B,NA,21
13260_47,C,NA,21
13260_47,D,NA,33
13260_47,E,NA,33
13260_49,A,4.5,NA
13260_49,B,NA,21
13260_49,C,NA,21
13260_49,D,NA,33
13270_45_46_47,A,NA,5
13270_45_46_47,B,NA,21
13270_45_46_47,C,NA,21
13270_45_46_47,D,NA,33
13270_45_46_47,E,NA,33
13280_46_99,A,NA,5
13280_46_99,B,NA,21
13280_46_99,C,NA,21
13280_46_99,D,NA,33
13280_46_99,E,NA,33
13290_45_46_99,A,NA,5
13290_45_46_99,B,NA,21
13290_45_46_99,C,NA,21
13290_45_46_99,D,NA,33
13290_45_46_99,E,NA,33
13300_46_48_54_55_56_99,A,NA,5
13300_46_48_54_55_56_99,B,NA,21
13300_46_48_54_55_56_99,C,NA,21
13300_46_48_54_55_56_99,D,NA,33
13300_46_48_54_55_56_99,E,NA,33
13310_39_40_41,A,NA,NA
13310_39_40_41,B,NA,NA
13310_39_40_41,C,NA,33
13330_56,A,NA,9
13330_56,B,NA,9
13330_56,C,NA,9
13330_56,D,NA,21
13330_56,E,NA,21
13340_32_43_44,A,NA,5
13340_32_43_44,B,NA,9
13340_32_43_44,C,NA,21
13350_55_58_60,A,NA,5
13350_55_58_60,B,NA,21
13350_55_58_60,C,NA,21
13350_55_58_60,D,NA,33
13350_55_58_60,E,NA,33
13360_56,A,NA,NA
13360_56,B,NA,NA
13360_56,C,4.5,NA
13360_56,D,NA,9
13360_56,E,NA,33
13370_56,A,NA,NA
13370_56,B,NA,NA
13370_56,C,4.5,NA
13370_56,D,NA,9
13370_56,E,NA,33
13380_36,A,NA,21
13380_36,B,NA,33
13390_36_37_98,A,NA,NA
13390_36_37_98,B,NA,NA
13390_36_37_98,C,NA,33
13400_61,A,NA,NA
13400_61,B,4.5,NA
13400_61,C,NA,5
13420_59,A,NA,5
13420_59,B,NA,21
13420_59,C,NA,21
13420_59,D,NA,33
13420_59,E,NA,33
13430_54_55,A,NA,5
13430_54_55,B,NA,21
13430_54_55,C,NA,21
13430_54_55,D,NA,33
13430_54_55,E,NA,33
13430_58_60,A,NA,5
13430_58_60,B,NA,21
13430_58_60,C,NA,21
13430_58_60,D,NA,33
13430_58_60,E,NA,33
13440_41,A,NA,5
13440_41,B,NA,5
13440_41,C,NA,21
13440_41,D,NA,21
13440_41,E,NA,33
13440_66,A,NA,9
13440_66,B,NA,21
13440_66,C,NA,21
13440_66,D,NA,33
13440_66,E,NA,33
13441_51,A,NA,5
13441_51,B,NA,10
13441_51,C,NA,10
13441_51,D,NA,21
13442_51,A,4.5,NA
13442_51,B,NA,21
13442_51,C,NA,21
13442_51,D,NA,33
13460_54_55_58,A,NA,NA
13460_54_55_58,B,NA,21
13460_54_55_58,C,NA,33
13460_54_55_58,D,NA,33
13460_54_55_58,E,NA,33
13470_55_58_60,A,NA,NA
13470_55_58_60,B,NA,21
13470_55_58_60,C,NA,33
13470_55_58_60,D,NA,33
13470_55_58_60,E,NA,33
13480_37_45_98,A,NA,5
13480_37_45_98,B,NA,21
13480_37_45_98,C,NA,21
13480_37_45_98,D,NA,33
13480_37_45_98,E,NA,33
13490_46_48_54_55_99,A,NA,5
13490_46_48_54_55_99,B,NA,21
13490_46_48_54_55_99,C,NA,21
13490_46_48_54_55_99,D,NA,33
13490_46_48_54_55_99,E,NA,33
13500_57,A,NA,9
13500_57,B,NA,21
13500_57,C,NA,33
13500_57,D,NA,33
13500_57,E,NA,33
13500_61,A,NA,9
13500_61,B,NA,21
13500_61,C,NA,33
13500_61,D,NA,33
13510_48_54_59,A,NA,5
13510_48_54_59,B,NA,21
13510_48_54_59,C,NA,21
13510_48_54_59,D,NA,33
13510_48_54_59,E,NA,33
13520_53_54_57_59_60_61,A,NA,5
13520_53_54_57_59_60_61,B,NA,21
13520_53_54_57_59_60_61,C,NA,21
13520_53_54_57_59_60_61,D,NA,33
13520_53_54_57_59_60_61,E,NA,33
13530_46_48_53_54_57_59_60_61,A,NA,5
13530_46_48_53_54_57_59_60_61,B,NA,9
13530_46_48_53_54_57_59_60_61,C,NA,9
13530_46_48_53_54_57_59_60_61,D,NA,21
13530_46_48_53_54_57_59_60_61,E,NA,21
13530_47,A,NA,21
13530_47,B,NA,9
13530_47,C,NA,21
13530_47,D,NA,33
13530_47,E,NA,33
13540_64_66,A,NA,NA
13540_64_66,B,NA,9
13540_64_66,C,NA,9
13540_64_66,D,NA,21
13540_64_66,E,NA,21
13550_60_65,A,NA,NA
13550_60_65,B,NA,9
13550_60_65,C,NA,9
13550_60_65,D,NA,21
13550_60_65,E,NA,21
13560_55_56_99,A,NA,5
13560_55_56_99,B,NA,9
13560_55_56_99,C,NA,21
13560_55_56_99,D,NA,33
13560_55_56_99,E,NA,33
13570_46_47_55_58_99,A,NA,5
13570_46_47_55_58_99,B,NA,21
13570_46_47_55_58_99,C,NA,21
13570_46_47_55_58_99,D,NA,33
13570_46_47_55_58_99,E,NA,33
13580_35_36,A,NA,5
13580_35_36,B,NA,21
13580_35_36,C,NA,21
13580_35_36,D,NA,33
13580_35_36,E,NA,33
13600_56,A,NA,9
13600_56,B,NA,9
13600_56,C,NA,21
13600_56,D,NA,21
13600_56,E,NA,21
13610_58_60,A,NA,5
13610_58_60,B,NA,9
13610_58_60,C,NA,5
13610_58_60,D,NA,21
13610_58_60,E,NA,21
13620_41_50,A,NA,5
13620_41_50,B,NA,21
13620_41_50,C,NA,21
13620_41_50,D,NA,22
13620_41_50,E,NA,22
13620_51_63_64_65_66,A,NA,9
13620_51_63_64_65_66,B,NA,21
13620_51_63_64_65_66,C,NA,21
13620_51_63_64_65_66,D,NA,33
13622_41_50,A,NA,NA
13622_41_50,B,NA,9
13622_41_50,C,NA,21
13622_41_50,D,NA,33
13622_41_50,E,NA,33
13630_47_53,A,NA,NA
13630_47_53,B,NA,21
13630_47_53,C,NA,21
13630_47_53,D,NA,33
13630_47_53,E,NA,33
13640_32_44_49,A,NA,NA
13640_32_44_49,B,NA,21
13640_32_44_49,D,NA,33
13640_32_44_49,E,NA,33
13651_40_41_50,A,NA,9
13651_40_41_50,B,NA,9
13651_40_41_50,C,NA,21
13651_40_41_50,D,NA,33
13651_51,A,NA,9
13651_51,B,NA,9
13651_51,C,NA,21
13651_51,D,NA,33
13652_41,A,NA,9
13652_41,B,NA,9
13652_41,C,NA,21
13652_41,D,NA,33
13652_51,A,NA,9
13652_51,B,NA,9
13652_51,C,NA,21
13652_51,D,NA,33
13653_41,A,NA,5
13653_41,B,NA,9
13653_41,C,NA,21
13653_41,D,NA,21
13653_41,E,NA,21
13660_50,NA,NA,NA
13660_51_63_64_65_66,A,4.5,NA
13660_51_63_64_65_66,B,NA,5
13660_51_63_64_65_66,C,NA,21
13660_51_63_64_65_66,D,NA,33
13670_32_44,NA,NA,NA
13680_46_48_54_57_59_60_61,NA,NA,NA
13690_60_61_63_64_65_66,A,NA,5
13690_60_61_63_64_65_66,B,NA,21
13690_60_61_63_64_65_66,C,NA,21
13690_60_61_63_64_65_66,D,NA,33
13690_60_61_63_64_65_66,E,NA,33
13700_53_61_62,A,NA,9
13700_53_61_62,B,NA,33
13700_53_61_62,C,NA,33
13700_53_61_62,D,NA,33
13700_60_63_64_65_66,A,NA,9
13700_60_63_64_65_66,B,NA,33
13700_60_63_64_65_66,C,NA,33
13700_60_63_64_65_66,D,NA,33
13710_32_36_37_45_98,A,NA,5
13710_32_36_37_45_98,B,NA,21
13710_32_36_37_45_98,C,NA,21
13710_32_36_37_45_98,D,NA,33
13710_32_36_37_45_98,E,NA,33
13710_44,A,NA,5
13710_44,B,NA,9
13710_44,C,NA,9
13710_44,D,NA,21
13710_44,E,NA,21
13720_46_99,A,NA,5
13720_46_99,B,NA,21
13720_46_99,C,NA,21
13720_46_99,D,NA,33
13720_46_99,E,NA,33
13730_63_64,A,NA,9
13730_63_64,B,NA,21
13730_63_64,C,NA,21
13730_63_64,D,NA,33
13730_63_64,E,NA,33
13730_65_66,A,NA,5
13730_65_66,B,NA,9
13730_65_66,C,NA,21
13730_65_66,D,NA,33
13730_65_66,E,NA,33
13740_64_65_66,A,NA,5
13740_64_65_66,B,NA,9
13740_64_65_66,C,NA,21
13740_64_65_66,D,NA,33
13740_64_65_66,E,NA,33
13750_60,A,NA,5
13750_60,B,NA,9
13750_60,C,NA,33
13750_60,D,NA,33
13750_60,E,NA,33
13760_48_53_57_61,A,NA,5
13760_48_53_57_61,B,NA,21
13760_48_53_57_61,C,NA,21
13760_48_53_57_61,D,NA,33
13760_48_53_57_61,E,NA,33
13770_60_61_63_64_65_66,A,NA,NA
13770_60_61_63_64_65_66,B,NA,5
13770_60_61_63_64_65_66,C,NA,21
13770_60_61_63_64_65_66,D,NA,21
13780_37_44,A,NA,5
13780_37_44,B,NA,9
13780_37_44,C,NA,9
13780_37_44,D,NA,33
13780_37_44,E,NA,33
13790_60_65,A,NA,NA
13790_60_65,B,NA,9
13790_60_65,C,NA,NA
13790_60_65,D,NA,33
13790_60_65,E,NA,33
13800_55_99,A,4.5,NA
13800_55_99,B,NA,NA
13800_55_99,C,NA,9
13800_55_99,D,NA,21
13800_55_99,E,NA,33
13810_45,A,NA,NA
13810_45,B,NA,9
13810_45,C,NA,9
13810_45,D,NA,21
13810_45,E,NA,21
13820_55_58,A,NA,5
13820_55_58,B,NA,33
13820_55_58,C,NA,33
13820_55_58,D,NA,NA
13820_55_58,E,NA,NA
13830_32_35_36,A,NA,NA
13830_32_35_36,B,NA,NA
13830_32_35_36,C,NA,21
13830_32_35_36,D,NA,33
13830_32_35_36,E,NA,33
13840_98,A,4.5,NA
13840_98,B,NA,NA
13840_98,C,NA,9
13840_98,D,NA,21
13840_98,E,NA,33
13850_20,A,NA,NA
13850_20,B,NA,5
13850_20,C,NA,33
13850_29_30,A,NA,NA
13850_29_30,B,NA,5
13850_29_30,C,NA,33
13850_31_39_40_42,A,NA,NA
13850_31_39_40_42,B,NA,5
13850_31_39_40_42,C,NA,33
13860_66,A,NA,NA
13860_66,B,NA,NA
13870_55_56,A,NA,5
13870_55_56,B,NA,9
13870_55_56,C,NA,9
13870_55_56,D,NA,21
13870_55_56,E,NA,21
13890_64_66,A,NA,NA
13890_64_66,B,NA,NA
13890_64_66,C,NA,NA
13890_64_66,D,NA,9
13900_35_36,A,NA,NA
13900_35_36,B,NA,NA
13900_35_36,C,NA,33
13920_35,A,NA,NA
13920_36,A,NA,NA
13930_26_34,A,NA,NA
13930_26_34,B,NA,NA
13930_26_34,C,NA,NA
13930_32_35,A,NA,NA
13930_32_35,B,NA,NA
13930_32_35,C,NA,NA
13940_39_40_41,A,NA,21
13940_39_40_41,B,NA,33
13940_39_40_41,C,NA,33
13940_39_40_41,D,NA,33
13940_42,A,NA,21
13940_42,B,NA,33
13940_42,C,NA,33
13940_42,D,NA,33
13940_44_49,A,NA,21
13940_44_49,B,NA,33
13940_44_49,C,NA,33
13940_44_49,D,NA,33
13940_50_51,A,4.5,NA
13940_50_51,B,NA,21
13940_50_51,C,NA,33
13940_50_51,D,NA,33
13940_50_51,E,NA,33
13940_52,A,NA,21
13940_52,B,NA,33
13940_52,C,NA,33
13940_52,D,NA,33
13950_41_42_43_49_52,A,4.5,NA
13950_41_42_43_49_52,B,NA,33
13950_41_42_43_49_52,C,NA,33
13950_41_42_43_49_52,D,NA,33
13950_50,A,4.5,NA
13950_50,B,NA,21
13950_50,C,NA,33
13950_50,D,NA,33
13950_50,E,NA,33
13950_51,A,4.5,NA
13950_51,B,NA,21
13950_51,C,NA,33
13950_51,D,NA,33
13950_51,E,NA,33
13970_48,A,4.5,NA
13970_48,B,NA,9
13970_48,C,NA,21
13970_48,D,NA,33
13970_48,E,NA,21
14000_60_61,A,NA,NA
14000_60_61,B,NA,5
14000_60_61,C,NA,9
14000_60_61,D,NA,33
14000_63,A,NA,NA
14000_63,B,NA,5
14000_63,C,NA,9
14000_63,D,NA,33
14000_64,A,NA,NA
14000_64,B,NA,5
14000_64,C,NA,9
14000_64,D,NA,33
14010_43_44_47_48_53,A,4.5,NA
14010_43_44_47_48_53,B,NA,9
14010_43_44_47_48_53,C,NA,21
14010_43_44_47_48_53,D,NA,33
14010_43_44_47_48_53,E,NA,21
14010_49,A,4.5,NA
14010_49,B,NA,9
14010_49,C,NA,21
14010_49,D,NA,33
14010_49,E,NA,21
14071_41_50_51,A,NA,NA
14071_41_50_51,B,NA,9
14071_41_50_51,C,NA,9
14071_41_50_51,D,NA,33
14071_41_50_51,E,NA,33
14072_41_50_51,A,NA,NA
14072_41_50_51,B,NA,5
14072_41_50_51,C,NA,21
14072_41_50_51,D,NA,21
14080_48,A,4.5,NA
14080_48,B,NA,9
14080_48,C,NA,21
14080_48,D,NA,33
14080_48,E,NA,21
14090_50_64,A,NA,NA
14090_50_64,B,NA,21
14090_50_64,C,NA,33
14100_35,A,NA,NA
14100_35,B,NA,5
14100_35,C,NA,21
14110_49_51_52,A,NA,NA
14110_49_51_52,B,NA,NA
14110_49_51_52,C,NA,33
14120_39_40_41_42_43_50_51,A,NA,NA
14120_39_40_41_42_43_50_51,B,4.5,NA
14120_39_40_41_42_43_50_51,C,NA,9
14120_49,A,NA,NA
14120_49,B,4.5,NA
14120_49,C,NA,9
14120_52,A,NA,NA
14120_52,B,4.5,NA
14120_52,C,NA,9
14130_47,A,NA,NA
14130_47,B,NA,9
14130_47,C,NA,33
14130_47,D,NA,33
14130_47,E,NA,33
14140_57,A,NA,NA
14140_57,B,NA,NA
14140_57,C,NA,NA
14140_57,D,NA,33
14140_57,E,NA,33
14151_44,A,NA,NA
14151_44,B,NA,5
14151_44,C,NA,21
14152_44,A,NA,NA
14152_44,B,NA,9
14152_44,C,NA,9
14152_44,D,NA,33
14152_44,E,NA,33
14160_48,A,NA,NA
14160_48,B,NA,9
14160_48,C,NA,33
14160_48,D,NA,33
14160_48,E,NA,33
14170_48,A,NA,NA
14170_48,B,NA,9
14170_48,C,NA,33
14170_48,D,NA,33
14170_48,E,NA,33
14180_47,A,NA,NA
14180_47,B,NA,NA
14180_47,C,NA,33
14180_47,D,NA,NA
14200_39_40_42,A,NA,NA
14200_39_40_42,B,NA,NA
14200_39_40_42,C,NA,NA
14200_39_40_42,D,NA,NA
14200_41,A,NA,NA
14200_41,B,NA,NA
14200_41,C,NA,NA
14210_31_38_42_43_44_50_51,A,NA,NA
14210_31_38_42_43_44_50_51,B,NA,NA
14210_31_38_42_43_44_50_51,C,NA,NA
14210_49_52,A,NA,NA
14210_49_52,B,NA,NA
14210_49_52,C,NA,NA
14220_32_35_36_37,A,NA,NA
14220_32_35_36_37,B,NA,NA
14220_32_35_36_37,C,NA,NA
14230_32_35,A,NA,NA
14230_32_35,B,NA,NA
14230_32_35,C,NA,33
14230_38,A,NA,NA
14230_38,B,NA,NA
14230_38,C,NA,33
14230_43_44,A,NA,NA
14230_43_44,B,NA,NA
14230_43_44,C,NA,33
14250_56,A,NA,NA
14250_56,B,NA,NA
14250_56,C,NA,9
14260_58,A,NA,NA
14260_58,B,NA,5
14260_58,C,NA,21
14260_58,D,NA,33
14260_58,E,NA,9
14270_47,A,NA,NA
14270_47,B,NA,9
14270_47,C,NA,33
14270_47,D,NA,33
14270_47,E,NA,33
14280_37_44,A,NA,NA
14280_37_44,B,NA,NA
14280_37_44,C,NA,33
14280_37_44,D,NA,33
14290_37_45,A,4.5,NA
14290_37_45,B,NA,5
14290_37_45,C,NA,21
14300_46,A,NA,NA
14300_46,B,NA,5
14300_46,C,NA,9
14300_46,D,NA,21
14300_46,E,NA,21
14320_45,A,NA,9
14320_45,B,NA,9
14320_45,C,NA,9
14320_45,D,NA,9
14340_36,A,NA,NA
14340_36,B,NA,NA
14340_37_98,A,NA,NA
14340_37_98,B,NA,NA
14340_37_98,C,NA,NA
14340_37_98,D,NA,NA
14350_99,A,NA,NA
14350_99,B,NA,NA
14350_99,C,NA,NA
14360_60,A,NA,NA
14360_60,B,NA,5
14360_60,C,NA,21
14360_60,D,NA,33
14360_60,E,NA,9
14360_65_66,A,NA,NA
14360_65_66,B,NA,5
14360_65_66,C,NA,9
14370_36,A,NA,NA
14370_36,B,NA,NA
14370_36,C,NA,NA
14380_36,A,NA,NA
14380_36,B,NA,NA
14380_36,C,NA,21
14390_36,A,NA,NA
14400_36,A,NA,NA
14400_36,B,NA,NA
14400_36,C,NA,NA
14420_36,A,NA,NA
14420_36,B,NA,NA
14420_36,C,NA,NA
14440_41_50_51,A,4.5,NA
14440_41_50_51,B,NA,5
14440_41_50_51,C,NA,21
14440_41_50_51,D,NA,33
14450_56,A,NA,NA
14450_56,B,NA,33
14450_56,C,NA,33
14460_56,A,NA,9
14460_56,B,NA,21
14460_56,C,NA,21
14460_56,D,NA,21
14460_56,E,NA,21
14470_56,A,NA,5
14470_56,B,NA,9
14470_56,C,NA,9
14470_56,D,NA,21
14470_56,E,NA,21
14490_58_60,A,NA,5
14490_58_60,B,NA,21
14490_58_60,C,NA,21
14490_58_60,D,NA,33
14490_58_60,E,NA,33
14500_55_58,A,NA,5
14500_55_58,B,NA,21
14500_55_58,C,NA,21
14500_55_58,D,NA,33
14500_55_58,E,NA,33
14510_37_98,A,NA,5
14510_37_98,B,NA,21
14510_37_98,C,NA,21
14510_37_98,D,NA,33
14510_37_98,E,NA,33
14520_58_60,A,NA,NA
14520_58_60,B,NA,5
14520_58_60,C,NA,5
14520_58_60,D,NA,21
14520_58_60,E,NA,21
14530_55_56,A,NA,5
14530_55_56,B,NA,9
14530_55_56,C,NA,21
14530_55_56,D,NA,21
14530_55_56,E,NA,21
14540_55_56_99,A,NA,5
14540_55_56_99,B,NA,21
14540_55_56_99,C,NA,21
14540_55_56_99,D,NA,33
14540_55_56_99,E,NA,33
14550_46_99,A,NA,9
14550_46_99,B,NA,21
14550_46_99,C,NA,21
14550_46_99,D,NA,33
14550_46_99,E,NA,33
14570_47_48,A,NA,5
14570_47_48,B,NA,21
14570_47_48,C,NA,21
14570_47_48,D,NA,33
14570_47_48,E,NA,33
14570_49,A,NA,9
14570_49,B,NA,21
14570_49,C,NA,33
14580_37_44_45_98,A,NA,5
14580_37_44_45_98,B,NA,21
14580_37_44_45_98,C,NA,21
14580_37_44_45_98,D,NA,33
14580_37_44_45_98,E,NA,33
14590_58,A,NA,NA
14590_58,B,NA,21
14590_58,C,NA,21
14600_55_56_99,A,NA,5
14600_55_56_99,B,NA,21
14600_55_56_99,C,NA,21
14600_55_56_99,D,NA,33
14600_55_56_99,E,NA,33
14610_46_55_56_99,A,NA,5
14610_46_55_56_99,B,NA,21
14610_46_55_56_99,C,NA,21
14610_46_55_56_99,D,NA,33
14610_46_55_56_99,E,NA,33
14660_49,A,NA,NA
14660_49,B,NA,NA
14660_49,C,NA,21
14660_50_51,A,NA,NA
14660_50_51,B,NA,NA
14660_50_51,C,NA,33
14660_50_51,D,NA,33
14670_36,A,NA,NA
14670_36,B,NA,9
14670_36,C,NA,21
14680_46_55_58_99,A,NA,5
14680_46_55_58_99,B,NA,21
14680_46_55_58_99,C,NA,21
14680_46_55_58_99,D,NA,33
14680_46_55_58_99,E,NA,33
14680_60,A,NA,5
14680_60,B,NA,21
14680_60,C,NA,21
14680_60,D,NA,33
14680_60,E,NA,33
14690_31_39_40_43,A,NA,5
14690_31_39_40_43,B,NA,21
14690_31_39_40_43,C,NA,33
14690_31_39_40_43,D,NA,33
14690_38_42_49,A,NA,5
14690_38_42_49,B,NA,21
14690_38_42_49,C,NA,33
14690_38_42_49,D,NA,33
14700_56,A,NA,NA
14700_56,B,NA,5
14700_56,C,NA,5
14700_56,D,NA,9
14700_56,E,NA,9
14710_32_35,A,NA,9
14710_32_35,B,NA,33
14710_41_50,A,NA,5
14710_41_50,B,NA,5
14710_41_50,C,NA,21
14710_41_50,D,NA,33
14710_42_43,A,NA,NA
14710_42_43,B,NA,5
14710_42_43,C,NA,21
14710_42_43,D,NA,33
14710_44,A,NA,NA
14710_44,B,NA,5
14710_44,C,NA,21
14710_44,D,NA,33
14710_47_48_53_54_57_59_60_61_63,A,NA,9
14710_47_48_53_54_57_59_60_61_63,B,NA,21
14710_47_48_53_54_57_59_60_61_63,C,NA,21
14710_47_48_53_54_57_59_60_61_63,D,NA,33
14710_47_48_53_54_57_59_60_61_63,E,NA,33
14710_49_52,A,NA,5
14710_49_52,B,NA,5
14710_49_52,C,NA,21
14710_49_52,D,NA,33
14710_51_62,A,NA,5
14710_51_62,B,NA,5
14710_51_62,C,NA,21
14710_51_62,D,NA,33
14710_64_65,A,NA,9
14710_64_65,B,NA,21
14710_64_65,C,NA,21
14710_64_65,D,NA,33
14710_64_65,E,NA,33
14712_44,A,NA,9
14712_44,B,NA,33
14712_44,C,NA,33
14720_32_35,A,NA,5
14720_32_35,B,NA,21
14720_32_35,C,NA,33
14720_44_46_47_48,A,NA,9
14720_44_46_47_48,B,NA,21
14720_44_46_47_48,C,NA,21
14720_44_46_47_48,D,NA,33
14720_44_46_47_48,E,NA,33
14720_49,A,NA,9
14720_49,B,NA,21
14720_49,C,NA,21
14720_49,D,NA,NA
14720_49,E,NA,33
14720_53_54_57_59_60,A,NA,9
14720_53_54_57_59_60,B,NA,21
14720_53_54_57_59_60,C,NA,21
14720_53_54_57_59_60,D,NA,33
14720_53_54_57_59_60,E,NA,33
14720_61_62_63,A,NA,9
14720_61_62_63,B,NA,21
14720_61_62_63,C,NA,21
14720_61_62_63,D,NA,NA
14720_61_62_63,E,NA,33
14720_64_65_66,A,NA,9
14720_64_65_66,B,NA,21
14720_64_65_66,C,NA,21
14720_64_65_66,D,NA,33
14720_64_65_66,E,NA,33
14730_32_37_44,A,NA,5
14730_32_37_44,B,NA,21
14730_32_37_44,C,NA,21
14730_32_37_44,D,NA,33
14730_36,A,NA,5
14730_36,B,NA,21
14730_36,C,NA,21
14730_36,D,NA,33
14730_45_46_47_98_99,A,NA,5
14730_45_46_47_98_99,B,NA,33
14730_45_46_47_98_99,C,NA,33
14730_45_46_47_98_99,D,NA,33
14730_55_58_60,A,NA,5
14730_55_58_60,B,NA,33
14730_55_58_60,C,NA,33
14730_55_58_60,D,NA,33
14740_32_37_44_45_98,A,NA,9
14740_32_37_44_45_98,B,NA,21
14740_32_37_44_45_98,C,NA,33
14740_36,A,NA,9
14740_36,B,NA,21
14740_46_47_48_55_56_58_60_99,A,NA,9
14740_46_47_48_55_56_58_60_99,B,NA,21
14740_46_47_48_55_56_58_60_99,C,NA,21
14740_46_47_48_55_56_58_60_99,D,NA,33
14740_46_47_48_55_56_58_60_99,E,NA,33
14750_41_50_51_63_64_65_66,A,NA,5
14750_41_50_51_63_64_65_66,B,NA,5
14750_41_50_51_63_64_65_66,C,NA,21
14750_41_50_51_63_64_65_66,D,NA,33
14760_36,A,NA,NA
14760_36,B,NA,9
14760_36,C,NA,33
14770_40_41_50_51,A,NA,NA
14770_40_41_50_51,B,NA,NA
14770_40_41_50_51,C,NA,NA
14770_40_41_50_51,D,NA,NA
14770_40_41_50_51,E,NA,NA
14770_63_64_65_66,A,NA,NA
14770_63_64_65_66,B,NA,NA
14770_63_64_65_66,C,NA,NA
14770_63_64_65_66,D,NA,NA
14770_63_64_65_66,E,NA,NA
14780_56,A,NA,NA
14780_56,B,NA,21
14780_56,C,NA,33
14780_56,D,NA,9
14790_41_42_47_48_50_51_53,A,NA,NA
14790_41_42_47_48_50_51_53,B,NA,33
14790_41_42_47_48_50_51_53,C,NA,33
14790_52_62,A,NA,NA
14790_52_62,B,NA,33
14790_52_62,C,NA,33
14790_60_61_63_64_65_66,A,NA,NA
14790_60_61_63_64_65_66,B,NA,33
14790_60_61_63_64_65_66,C,NA,33
14800_36_37_44,A,NA,5
14800_36_37_44,B,NA,33
14800_36_37_44,C,NA,33
14800_36_37_44,D,NA,33
14800_45_98,A,NA,5
14800_45_98,B,NA,33
14800_45_98,C,NA,33
14800_45_98,D,NA,33
14800_46_56_58_60_64_65_66,A,NA,NA
14800_46_56_58_60_64_65_66,B,NA,21
14800_46_56_58_60_64_65_66,C,NA,33
14800_47,A,NA,NA
14800_47,B,NA,21
14800_47,C,NA,33
14800_55_99,A,NA,NA
14800_55_99,B,NA,21
14800_55_99,C,NA,33
14810_41_50_51_63,A,NA,5
14810_41_50_51_63,B,NA,9
14810_41_50_51_63,C,NA,9
14810_41_50_51_63,D,NA,21
14820_30,A,NA,NA
14820_30,B,NA,NA
14820_39_40,A,NA,NA
14820_39_40,B,NA,NA
14830_56,A,NA,NA
14830_56,B,NA,5
14830_56,C,NA,NA
14830_56,D,NA,5
14850_55_99,A,NA,5
14850_55_99,B,NA,21
14850_55_99,C,NA,21
14850_55_99,D,NA,33
14850_55_99,E,NA,21
14860_36,A,NA,NA
14860_36,B,NA,NA
14860_36,C,NA,NA
14880_38_42_43,A,NA,NA
14890_55_56_99,NA,NA,NA
14900_36,A,NA,NA
14900_36,B,NA,NA
14900_37_98,A,NA,NA
14900_37_98,B,NA,NA
14900_55_56_58_99,A,NA,NA
14900_55_56_58_99,B,NA,NA
14900_55_56_58_99,C,NA,9
14900_55_56_58_99,D,NA,NA
14900_60,A,NA,NA
14900_60,B,NA,NA
14900_60,C,NA,9
14900_60,D,NA,NA
14900_65_66,A,NA,NA
14900_65_66,B,NA,NA
14900_65_66,C,NA,NA
14920_41_50_51_52_63,A,NA,NA
14920_41_50_51_52_63,B,NA,NA
14920_41_50_51_52_63,C,NA,NA
14930_41_42_44_50,A,NA,NA
14930_41_42_44_50,B,NA,NA
14930_41_42_44_50,C,NA,NA
14930_41_42_44_50,D,NA,21
14930_52_62,A,NA,NA
14930_52_62,B,NA,NA
14930_52_62,C,NA,NA
14930_52_62,D,NA,21
14940_41_50_51,A,NA,NA
14940_41_50_51,B,NA,NA
14940_41_50_51,C,NA,NA
14940_41_50_51,D,NA,21
14940_63_65_66,A,NA,NA
14940_63_65_66,B,NA,NA
14940_63_65_66,C,NA,NA
14940_63_65_66,D,NA,21
14940_64,A,NA,NA
14940_64,B,NA,NA
14940_64,C,NA,NA
14940_64,D,NA,21
14950_20,A,NA,NA
14950_20,B,NA,NA
14950_27_33,A,NA,NA
14950_27_33,B,NA,NA
14950_30,A,NA,NA
14950_30,B,NA,NA
14950_31_39_40,A,NA,NA
14950_31_39_40,B,NA,NA
14950_35,A,NA,NA
14950_36,A,NA,NA
14950_38,NA,NA,NA
14951_26_34,A,NA,NA
14952_34,A,NA,NA
14952_34,B,NA,NA
15010_58_60,A,NA,5
15010_58_60,B,NA,9
15010_58_60,C,NA,21
15010_58_60,D,NA,33
15010_58_60,E,NA,33
15030_25_27,A,NA,NA
15030_25_27,B,NA,NA
15030_25_27,C,NA,NA
15030_26,A,NA,NA
15030_26,B,NA,NA
15030_26,C,NA,NA
15040_25_27,A,NA,NA
15040_25_27,B,NA,NA
15040_32_35,A,NA,NA
15041_26_34,A,NA,NA
15042_26_34,A,NA,NA
