BPS_MODEL,Severity,Avg.FI,Percent.of.All.Fires,Min.FI,Max.FI
10330_3_6_7,Moderate (Mixed),575,46,,
10330_3_6_7,Low (Surface),,,,
10330_3_6_7,All Fires,262,100,,
10340_4_6_7,Replacement,181,37,,
10340_4_6_7,Moderate (Mixed),107,63,,
10340_4_6_7,Low (Surface),,,,
10340_4_6_7,All Fires,67,100,,
10350_1_2_7,Replacement,370,10,100,400
10350_1_2_7,Moderate (Mixed),71,50,40,150
10350_1_2_7,Low (Surface),91,40,,
10350_1_2_7,All Fires,36,100,,
10360_1_2,Replacement,680,100,300,2000
10360_1_2,Moderate (Mixed),,,,
10360_1_2,Low (Surface),,,,
10360_1_2,All Fires,680,100,,
10370_1_2_7,Replacement,333,24,250,500
10370_1_2_7,Moderate (Mixed),104,76,50,150
10370_1_2_7,Low (Surface),,,,
10370_1_2_7,All Fires,79,100,,
10380_1_7,Replacement,5066,100,,
10380_1_7,Moderate (Mixed),,,,
10380_1_7,Low (Surface),,,,
10380_1_7,All Fires,5066,100,,
10390_1_2_3_7,Replacement,398,100,300,800
10390_1_2_3_7,Moderate (Mixed),,,,
10390_1_2_3_7,Low (Surface),,,,
10390_1_2_3_7,All Fires,398,100,,
10411_1_7,Replacement,10549,32,,
10411_1_7,Moderate (Mixed),5051,68,,
10411_1_7,Low (Surface),,,,
10411_1_7,All Fires,3415,100,,
10412_1_7,Replacement,300,56,125,500
10412_1_7,Moderate (Mixed),627,27,250,750
10412_1_7,Low (Surface),1021,17,500,1500
10412_1_7,All Fires,169,100,71,250
10420_1_7,Replacement,3639,33,,
10420_1_7,Moderate (Mixed),1771,67,,
10420_1_7,Low (Surface),,,,
10420_1_7,All Fires,1191,100,,
10430_5,Replacement,315,3,65,500
10430_5,Moderate (Mixed),66,14,,
10430_5,Low (Surface),11,83,7,15
10430_5,All Fires,9,100,,
10431_2_3_6_7,NA,NA,NA,NA,NA
10431_2_3_6_7,NA,NA,NA,NA,NA
10431_2_3_6_7,NA,NA,NA,NA,NA
10431_2_3_6_7,NA,NA,NA,NA,NA
10431_2_3_6_7,NA,NA,NA,NA,NA
10431_2_3_6_7,NA,NA,NA,NA,NA
10431_2_3_6_7,NA,NA,NA,NA,NA
10432_2_3,NA,NA,NA,NA,NA
10432_2_3,NA,NA,NA,NA,NA
10432_2_3,NA,NA,NA,NA,NA
10432_2_3,NA,NA,NA,NA,NA
10432_2_3,NA,NA,NA,NA,NA
10432_2_3,NA,NA,NA,NA,NA
10432_2_3,NA,NA,NA,NA,NA
10432_2_3,NA,NA,NA,NA,NA
10432_2_3,NA,NA,NA,NA,NA
10440_3_6_7,Replacement,507,65,,
10440_3_6_7,Moderate (Mixed),935,35,,
10440_3_6_7,Low (Surface),,,,
10440_3_6_7,All Fires,329,100,,
10450_1_7_8_9,Replacement,184,12,70,400
10450_1_7_8_9,Moderate (Mixed),107,21,70,175
10450_1_7_8_9,Low (Surface),32,67,2,35
10450_1_7_8_9,All Fires,22,100,8,27
10450_21,Replacement,75,50,,
10450_21,Moderate (Mixed),106,36,,
10450_21,Low (Surface),266,14,,
10450_21,All Fires,38,100,,
10451_10_19,Replacement,149,13,,
10451_10_19,Moderate (Mixed),52,38,40,75
10451_10_19,Low (Surface),39,49,25,85
10451_10_19,All Fires,19,100,,
10451_20,Replacement,166,13,,
10451_20,Moderate (Mixed),52,40,,
10451_20,Low (Surface),44,47,,
10451_20,All Fires,21,100,,
10452_10_19,Replacement,202,19,50,250
10452_10_19,Moderate (Mixed),69,54,20,140
10452_10_19,Low (Surface),138,27,,
10452_10_19,All Fires,38,100,,
10453_10_19,Replacement,218,32,50,250
10453_10_19,Moderate (Mixed),104,68,35,150
10453_10_19,Low (Surface),,,,
10453_10_19,All Fires,70,100,,
10454_20,Replacement,144,52,,
10454_20,Moderate (Mixed),274,28,,
10454_20,Low (Surface),384,20,,
10454_20,All Fires,76,100,,
10460_1_7_9,Replacement,349,19,200,400
10460_1_7_9,Moderate (Mixed),79,81,35,120
10460_1_7_9,Low (Surface),,,,
10460_1_7_9,All Fires,65,100,,
10460_10_19_20,Replacement,396,46,100,1000
10460_10_19_20,Moderate (Mixed),336,54,,
10460_10_19_20,Low (Surface),,,,
10460_10_19_20,All Fires,182,100,,
10460_18,Replacement,227,18,,
10460_18,Moderate (Mixed),385,11,,
10460_18,Low (Surface),57,71,,
10460_18,All Fires,41,100,,
10460_21,Replacement,517,39,100,1000
10460_21,Moderate (Mixed),325,61,55,1000
10460_21,Low (Surface),,,,
10460_21,All Fires,200,100,,
10470_10_19,Replacement,185,43,150,500
10470_10_19,Moderate (Mixed),139,57,,
10470_10_19,Low (Surface),,,,
10470_10_19,All Fires,79,100,,
10470_8_9,Replacement,204,35,,
10470_8_9,Moderate (Mixed),155,45,,
10470_8_9,Low (Surface),355,20,,
10470_8_9,All Fires,71,100,,
10472_10_19,Replacement,382,84,75,1000
10472_10_19,Moderate (Mixed),2027,16,,
10472_10_19,Low (Surface),,,,
10472_10_19,All Fires,321,100,,
10480_29,Replacement,271,11,,
10480_29,Moderate (Mixed),120,24,,
10480_29,Low (Surface),45,65,,
10480_29,All Fires,29,100,,
10490_16_22,Replacement,213,100,,
10490_16_22,Moderate (Mixed),,,,
10490_16_22,Low (Surface),,,,
10490_16_22,All Fires,213,100,,
10490_19_20_21_23_28_29,Replacement,383,100,,
10490_19_20_21_23_28_29,Moderate (Mixed),,,,
10490_19_20_21_23_28_29,Low (Surface),,,,
10490_19_20_21_23_28_29,All Fires,383,100,,
10500_16_23_28,Replacement,152,81,90,300
10500_16_23_28,Moderate (Mixed),,,,
10500_16_23_28,Low (Surface),636,19,,
10500_16_23_28,All Fires,122,100,,
10500_18,Replacement,149,81,90,300
10500_18,Moderate (Mixed),,,,
10500_18,Low (Surface),636,19,,
10500_18,All Fires,121,100,,
10500_22,Replacement,170,100,90,350
10500_22,Moderate (Mixed),,,,
10500_22,Low (Surface),,,,
10500_22,All Fires,170,100,,
10510_15_16_17_22_23_24_25,Replacement,89,12,,
10510_15_16_17_22_23_24_25,Moderate (Mixed),76,14,,
10510_15_16_17_22_23_24_25,Low (Surface),14,74,10,50
10510_15_16_17_22_23_24_25,All Fires,11,100,,
10510_18_21,Replacement,90,12,,
10510_18_21,Moderate (Mixed),77,14,,
10510_18_21,Low (Surface),14,74,10,50
10510_18_21,All Fires,11,100,,
10510_27,Replacement,277,7,150,600
10510_27,Moderate (Mixed),56,34,45,75
10510_27,Low (Surface),33,59,10,50
10510_27,All Fires,19,100,,
10510_28,Replacement,322,6,,
10510_28,Moderate (Mixed),53,35,80,200
10510_28,Low (Surface),31,59,2,70
10510_28,All Fires,19,100,,
10510_29,Replacement,94,11,90,600
10510_29,Moderate (Mixed),77,14,45,80
10510_29,Low (Surface),14,75,10,50
10510_29,All Fires,11,100,,
10510_6,Replacement,91,12,,
10510_6,Moderate (Mixed),76,14,,
10510_6,Low (Surface),14,74,10,50
10510_6,All Fires,11,100,,
10520_12,Replacement,182,18,120,400
10520_12,Moderate (Mixed),89,36,,
10520_12,Low (Surface),70,46,,
10520_12,All Fires,32,100,,
10520_13,Replacement,217,18,120,400
10520_13,Moderate (Mixed),194,21,,
10520_13,Low (Surface),65,61,,
10520_13,All Fires,40,100,,
10520_15,Replacement,188,18,120,400
10520_15,Moderate (Mixed),91,37,,
10520_15,Low (Surface),73,45,,
10520_15,All Fires,33,100,,
10520_16_23_24,Replacement,178,18,120,400
10520_16_23_24,Moderate (Mixed),88,37,,
10520_16_23_24,Low (Surface),74,45,,
10520_16_23_24,All Fires,33,100,,
10520_17,Replacement,183,18,120,400
10520_17,Moderate (Mixed),90,36,,
10520_17,Low (Surface),72,46,,
10520_17,All Fires,33,100,,
10520_18,Replacement,184,18,120,400
10520_18,Moderate (Mixed),89,37,,
10520_18,Low (Surface),72,45,,
10520_18,All Fires,33,100,,
10520_21,Replacement,186,18,120,400
10520_21,Moderate (Mixed),90,37,,
10520_21,Low (Surface),72,45,,
10520_21,All Fires,33,100,,
10520_25,Replacement,185,18,120,400
10520_25,Moderate (Mixed),92,37,,
10520_25,Low (Surface),75,45,,
10520_25,All Fires,34,100,,
10520_27,Replacement,251,15,120,400
10520_27,Moderate (Mixed),97,37,,
10520_27,Low (Surface),76,48,,
10520_27,All Fires,36,100,,
10520_28,Replacement,200,27,80,200
10520_28,Moderate (Mixed),143,37,35,250
10520_28,Low (Surface),151,36,10,200
10520_28,All Fires,54,100,,
10530_10_19,Replacement,347,4,50,1000
10530_10_19,Moderate (Mixed),55,23,16,100
10530_10_19,Low (Surface),17,73,12,20
10530_10_19,All Fires,12,100,,
10531_1_7_8_9,Replacement,277,5,100,400+
10531_1_7_8_9,Moderate (Mixed),79,18,50,80
10531_1_7_8_9,Low (Surface),19,77,2,30
10531_1_7_8_9,All Fires,15,100,2,20
10532_7_9,Replacement,258,18,150,450
10532_7_9,Moderate (Mixed),100,47,50,200
10532_7_9,Low (Surface),136,35,50,150
10532_7_9,All Fires,47,100,21,72
10540_13_14,Replacement,258,6,150,400
10540_13_14,Moderate (Mixed),39,39,,
10540_13_14,Low (Surface),28,55,10,50
10540_13_14,All Fires,15,100,,
10540_15_25,Replacement,397,2,150,500
10540_15_25,Moderate (Mixed),108,9,10,150
10540_15_25,Low (Surface),10,89,5,50
10540_15_25,All Fires,9,100,,
10540_16_23_24,Replacement,282,6,150,400
10540_16_23_24,Moderate (Mixed),228,8,,
10540_16_23_24,Low (Surface),20,86,10,50
10540_16_23_24,All Fires,17,100,,
10540_17,Replacement,256,6,150,400
10540_17,Moderate (Mixed),38,39,,
10540_17,Low (Surface),28,55,10,50
10540_17,All Fires,15,100,,
10540_20,Replacement,231,6,,
10540_20,Moderate (Mixed),76,18,,
10540_20,Low (Surface),18,76,,
10540_20,All Fires,14,100,,
10540_22,Replacement,165,8,50,1000
10540_22,Moderate (Mixed),49,26,16,100
10540_22,Low (Surface),19,66,12,20
10540_22,All Fires,13,100,,
10540_26,Replacement,76,12,150,500
10540_26,Moderate (Mixed),106,9,10,150
10540_26,Low (Surface),11,79,5,50
10540_26,All Fires,9,100,,
10540_28,Replacement,506,4,,
10540_28,Moderate (Mixed),160,13,,
10540_28,Low (Surface),25,83,,
10540_28,All Fires,20,100,,
10540_29,Replacement,302,6,100,400
10540_29,Moderate (Mixed),264,7,50,400
10540_29,Low (Surface),20,87,5,50
10540_29,All Fires,18,100,,
10540_33,Replacement,504,5,,
10540_33,Moderate (Mixed),157,15,,
10540_33,Low (Surface),30,80,,
10540_33,All Fires,24,100,,
10541_27,Replacement,348,3,,
10541_27,Moderate (Mixed),,,,
10541_27,Low (Surface),12,97,,
10541_27,All Fires,11,100,,
10542_27,Replacement,502,5,,
10542_27,Moderate (Mixed),159,15,,
10542_27,Low (Surface),31,80,,
10542_27,All Fires,24,100,,
10550_1_8_9,Replacement,231,52,,
10550_1_8_9,Moderate (Mixed),247,48,,
10550_1_8_9,Low (Surface),,,,
10550_1_8_9,All Fires,119,100,,
10550_10_19,Replacement,207,67,100,600
10550_10_19,Moderate (Mixed),417,33,,
10550_10_19,Low (Surface),,,,
10550_10_19,All Fires,138,100,,
10550_15_28,Replacement,194,69,150,300
10550_15_28,Moderate (Mixed),424,31,,
10550_15_28,Low (Surface),,,,
10550_15_28,All Fires,133,100,,
10550_16_23_24,Replacement,216,97,40,300
10550_16_23_24,Moderate (Mixed),7174,3,,
10550_16_23_24,Low (Surface),,,,30
10550_16_23_24,All Fires,210,100,,
10550_17,Replacement,177,99,,
10550_17,Moderate (Mixed),16077,1,1000,1000
10550_17,Low (Surface),,,,
10550_17,All Fires,175,100,,
10550_18,Replacement,176,80,,
10550_18,Moderate (Mixed),689,20,,
10550_18,Low (Surface),,,,
10550_18,All Fires,140,100,,
10550_20,Replacement,136,74,90,350
10550_20,Moderate (Mixed),383,26,,
10550_20,Low (Surface),,,,
10550_20,All Fires,100,100,,
10550_21_22,Replacement,335,100,90,350
10550_21_22,Moderate (Mixed),,,,
10550_21_22,Low (Surface),,,,
10550_21_22,All Fires,335,100,,
10550_27,Replacement,206,69,150,300
10550_27,Moderate (Mixed),452,31,,
10550_27,Low (Surface),,,,
10550_27,All Fires,141,100,,
10550_29,Replacement,116,100,30,300
10550_29,Moderate (Mixed),,,,
10550_29,Low (Surface),,,,
10550_29,All Fires,116,100,,
10560_1_7_8_9,Replacement,121,78,,
10560_1_7_8_9,Moderate (Mixed),417,22,,
10560_1_7_8_9,Low (Surface),,,,
10560_1_7_8_9,All Fires,94,100,,
10560_10_19,Replacement,180,100,100,600
10560_10_19,Moderate (Mixed),,,,
10560_10_19,Low (Surface),,,,
10560_10_19,All Fires,180,100,,
10560_15_28,Replacement,197,69,150,300
10560_15_28,Moderate (Mixed),430,31,,
10560_15_28,Low (Surface),,,,
10560_15_28,All Fires,135,100,,
10560_16_23,Replacement,217,97,200,300
10560_16_23,Moderate (Mixed),6935,3,,
10560_16_23,Low (Surface),,,,
10560_16_23,All Fires,211,100,,
10560_18,Replacement,178,80,,
10560_18,Moderate (Mixed),692,20,,
10560_18,Low (Surface),,,,
10560_18,All Fires,142,100,,
10560_20,Replacement,216,93,100,600
10560_20,Moderate (Mixed),2905,7,,
10560_20,Low (Surface),,,,
10560_20,All Fires,201,100,,
10560_21_22,Replacement,428,67,,
10560_21_22,Moderate (Mixed),886,33,,
10560_21_22,Low (Surface),,,,
10560_21_22,All Fires,288,100,,
10560_29,Replacement,346,75,100,600
10560_29,Moderate (Mixed),1061,25,,
10560_29,Low (Surface),,,,
10560_29,All Fires,261,100,,
10570_12_16,Replacement,510,28,,
10570_12_16,Moderate (Mixed),,,,
10570_12_16,Low (Surface),200,72,,
10570_12_16,All Fires,144,100,,
10570_18,Replacement,503,28,,
10570_18,Moderate (Mixed),,,,
10570_18,Low (Surface),198,72,,
10570_18,All Fires,142,100,,
10570_23,Replacement,499,29,,
10570_23,Moderate (Mixed),,,,
10570_23,Low (Surface),199,71,,
10570_23,All Fires,142,100,,
10570_28,Replacement,486,29,,
10570_28,Moderate (Mixed),197,71,,
10570_28,Low (Surface),,,,
10570_28,All Fires,140,100,,
10570_29,Replacement,495,67,,
10570_29,Moderate (Mixed),,,,
10570_29,Low (Surface),990,33,,
10570_29,All Fires,330,100,,
10580_12,Replacement,156,23,37,764
10580_12,Moderate (Mixed),51,69,,
10580_12,Low (Surface),459,8,,
10580_12,All Fires,35,100,,
10580_4,Replacement,278,18,31,500
10580_4,Moderate (Mixed),103,48,31,350
10580_4,Low (Surface),145,34,9,350
10580_4,All Fires,50,100,,
10580_7,Replacement,91,88,15,200
10580_7,Moderate (Mixed),,,,
10580_7,Low (Surface),647,12,,
10580_7,All Fires,80,100,,
10581_6,Replacement,158,23,37,764
10581_6,Moderate (Mixed),51,69,,
10581_6,Low (Surface),460,8,,
10581_6,All Fires,36,100,,
10582_6,Replacement,247,11,31,500
10582_6,Moderate (Mixed),57,46,31,350
10582_6,Low (Surface),60,43,9,350
10582_6,All Fires,26,100,,
10590_24_28,Replacement,433,29,,
10590_24_28,Moderate (Mixed),199,64,,
10590_24_28,Low (Surface),1914,7,,
10590_24_28,All Fires,127,100,,
10590_25,Replacement,243,24,20,1000
10590_25,Moderate (Mixed),254,23,20,1000
10590_25,Low (Surface),108,53,,
10590_25,All Fires,58,100,,
10590_26,Replacement,29,36,20,1000
10590_26,Moderate (Mixed),32,33,20,1000
10590_26,Low (Surface),34,31,10,100
10590_26,All Fires,11,100,,
10590_27_33,Replacement,325,42,20,1000
10590_27_33,Moderate (Mixed),405,34,20,1000
10590_27_33,Low (Surface),563,24,,
10590_27_33,All Fires,137,100,,
10600_1_2_7,Replacement,380,7,,
10600_1_2_7,Moderate (Mixed),640,4,,
10600_1_2_7,Low (Surface),31,89,5,30
10600_1_2_7,All Fires,27,100,,
10610_13,Replacement,79,41,50,300
10610_13,Moderate (Mixed),55,59,,
10610_13,Low (Surface),,,,
10610_13,All Fires,32,100,,
10610_15_25,Replacement,43,28,25,50
10610_15_25,Moderate (Mixed),20,61,,
10610_15_25,Low (Surface),111,11,,
10610_15_25,All Fires,12,100,,
10610_18,Replacement,75,37,50,300
10610_18,Moderate (Mixed),45,63,10,50
10610_18,Low (Surface),,,,
10610_18,All Fires,28,100,,
10610_20_29,Replacement,117,46,50,300
10610_20_29,Moderate (Mixed),101,54,10,125
10610_20_29,Low (Surface),,,,
10610_20_29,All Fires,54,100,,
10610_22_27_28,Replacement,77,37,40,90
10610_22_27_28,Moderate (Mixed),72,40,,
10610_22_27_28,Low (Surface),125,23,30,250
10610_22_27_28,All Fires,29,100,,
10610_6,Replacement,148,24,50,300
10610_6,Moderate (Mixed),223,16,,
10610_6,Low (Surface),60,60,,
10610_6,All Fires,36,100,,
10610_8_9_17,Replacement,68,39,50,300
10610_8_9_17,Moderate (Mixed),44,61,10,50
10610_8_9_17,Low (Surface),,,,
10610_8_9_17,All Fires,27,100,,
10611_16_23_24,Replacement,44,24,,
10611_16_23_24,Moderate (Mixed),14,76,10,20
