BPS_MODEL,Severity,Avg.FI,Percent.of.All.Fires,Min.FI,Max.FI
11270_16_23_24_25,Moderate (Mixed),,,,
11270_16_23_24_25,Low (Surface),,,,
11270_16_23_24_25,All Fires,106,100,,
11270_21,Replacement,215,100,100,500
11270_21,Moderate (Mixed),,,,
11270_21,Low (Surface),,,,
11270_21,All Fires,215,100,,
11270_22,Replacement,449,100,,
11270_22,Moderate (Mixed),,,,
11270_22,Low (Surface),,,,
11270_22,All Fires,449,100,,
11270_28,Replacement,122,100,,
11270_28,Moderate (Mixed),,,,
11270_28,Low (Surface),,,,
11270_28,All Fires,122,100,,
11270_7_8_9,Replacement,211,100,100,500
11270_7_8_9,Moderate (Mixed),,,,
11270_7_8_9,Low (Surface),,,,
11270_7_8_9,All Fires,211,100,,
11280_2_3_4,Replacement,109,100,,
11280_2_3_4,Moderate (Mixed),,,,
11280_2_3_4,Low (Surface),,,,
11280_2_3_4,All Fires,109,100,,
11290_4_5,Replacement,4,100,2,38
11290_4_5,Moderate (Mixed),,,,
11290_4_5,Low (Surface),,,,
11290_4_5,All Fires,4,100,,
11300_3_4,Replacement,7,100,2,25
11300_3_4,Moderate (Mixed),,,,
11300_3_4,Low (Surface),,,,
11300_3_4,All Fires,7,100,,
11310_2_3_4,Replacement,2,100,,
11310_2_3_4,Moderate (Mixed),,,,
11310_2_3_4,Low (Surface),,,,
11310_2_3_4,All Fires,2,100,,
11320_31_38,Replacement,8,95,2,30
11320_31_38,Moderate (Mixed),,,,
11320_31_38,Low (Surface),161,5,,
11320_31_38,All Fires,8,100,,
11320_32_34_35,Replacement,7,66,,
11320_32_34_35,Moderate (Mixed),43,11,,
11320_32_34_35,Low (Surface),20,23,,
11320_32_34_35,All Fires,5,100,,
11320_33,Replacement,15,100,,
11320_33,Moderate (Mixed),,,,
11320_33,Low (Surface),,,,
11320_33,All Fires,15,100,,
11330_25,Replacement,904,100,,
11330_25,Moderate (Mixed),,,,
11330_25,Low (Surface),,,,
11330_25,All Fires,904,100,,
11340_10,Replacement,14,100,,
11340_10,Moderate (Mixed),,,,
11340_10,Low (Surface),,,,
11340_10,All Fires,14,100,,
11340_8_9,Replacement,21,43,,
11340_8_9,Moderate (Mixed),16,57,5,20
11340_8_9,Low (Surface),,,,
11340_8_9,All Fires,9,100,,
11350_13_14,Replacement,117,100,,
11350_13_14,Moderate (Mixed),,,,
11350_13_14,Low (Surface),,,,
11350_13_14,All Fires,117,100,,
11350_15_28,Replacement,76,33,20,110
11350_15_28,Moderate (Mixed),37,67,,
11350_15_28,Low (Surface),,,,
11350_15_28,All Fires,25,100,,
11350_16_23_24,Replacement,25,100,20,110
11350_16_23_24,Moderate (Mixed),,,,
11350_16_23_24,Low (Surface),,,,
11350_16_23_24,All Fires,25,100,,
11350_22,Replacement,25,100,20,110
11350_22,Moderate (Mixed),,,,
11350_22,Low (Surface),,,,
11350_22,All Fires,25,100,,
11350_25,Replacement,25,98,20,110
11350_25,Moderate (Mixed),1003,2,,
11350_25,Low (Surface),,,,
11350_25,All Fires,25,100,,
11350_7_8_9_10_12_17_18,Replacement,82,100,30,500
11350_7_8_9_10_12_17_18,Moderate (Mixed),,,,
11350_7_8_9_10_12_17_18,Low (Surface),,,,
11350_7_8_9_10_12_17_18,All Fires,82,100,,
11360_6,Replacement,210,100,,
11360_6,Moderate (Mixed),,,,
11360_6,Low (Surface),,,,
11360_6,All Fires,210,100,,
11370_3_6,Replacement,40,80,,
11370_3_6,Moderate (Mixed),161,20,,
11370_3_6,Low (Surface),,,,
11370_3_6,All Fires,32,100,,
11380_1,Replacement,750,100,,
11380_1,Moderate (Mixed),,,,
11380_1,Low (Surface),,,,
11380_1,All Fires,750,100,,
11380_3_5,Replacement,64,100,,
11380_3_5,Moderate (Mixed),,,,
11380_3_5,Low (Surface),,,,
11380_3_5,All Fires,64,100,,
11380_6,Replacement,16,100,,
11380_6,Moderate (Mixed),,,,
11380_6,Low (Surface),,,,
11380_6,All Fires,16,100,,
11390_10_19,Replacement,17,100,2,30
11390_10_19,Moderate (Mixed),,,,
11390_10_19,Low (Surface),,,,
11390_10_19,All Fires,17,100,,
11390_18,Replacement,50,100,,
11390_18,Moderate (Mixed),,,,
11390_18,Low (Surface),,,,
11390_18,All Fires,50,100,,
11390_20,Replacement,20,100,2,30
11390_20,Moderate (Mixed),,,,
11390_20,Low (Surface),,,,
11390_20,All Fires,20,100,,
11390_21,Replacement,32,100,20,80
11390_21,Moderate (Mixed),,,,
11390_21,Low (Surface),,,,
11390_21,All Fires,32,100,,
11390_22,Replacement,66,100,10,100
11390_22,Moderate (Mixed),,,,
11390_22,Low (Surface),,,,
11390_22,All Fires,66,100,,
11390_29,Replacement,35,100,10,100
11390_29,Moderate (Mixed),,,,
11390_29,Low (Surface),,,,
11390_29,All Fires,35,100,,
11390_8_9,Replacement,45,81,,
11390_8_9,Moderate (Mixed),190,19,,
11390_8_9,Low (Surface),,,,
11390_8_9,All Fires,36,100,,
11400_10_19,Replacement,147,100,50,500
11400_10_19,Moderate (Mixed),,,,
11400_10_19,Low (Surface),,,,
11400_10_19,All Fires,147,100,,
11400_20,Replacement,80,100,40,200
11400_20,Moderate (Mixed),,,,
11400_20,Low (Surface),,,,
11400_20,All Fires,80,100,,
11400_21,Replacement,205,100,100,500
11400_21,Moderate (Mixed),,,,
11400_21,Low (Surface),,,,
11400_21,All Fires,205,100,,
11400_29,Replacement,79,100,40,200
11400_29,Moderate (Mixed),,,,
11400_29,Low (Surface),,,,
11400_29,All Fires,79,100,,
11400_9,Replacement,667,69,,
11400_9,Moderate (Mixed),1473,31,,
11400_9,Low (Surface),,,,
11400_9,All Fires,459,100,,
11410_20,Replacement,12,100,2,40
11410_20,Moderate (Mixed),,,,
11410_20,Low (Surface),,,,
11410_20,All Fires,12,100,,
11410_29_30,Replacement,14,100,2,40
11410_29_30,Moderate (Mixed),,,,
11410_29_30,Low (Surface),,,,
11410_29_30,All Fires,14,100,,
11410_31,Replacement,8,100,2,40
11410_31,Moderate (Mixed),,,,
11410_31,Low (Surface),,,,
11410_31,All Fires,8,100,,
11410_39,Replacement,8,100,2,40
11410_39,Moderate (Mixed),,,,
11410_39,Low (Surface),,,,
11410_39,All Fires,8,100,,
11410_40,Replacement,8,100,2,40
11410_40,Moderate (Mixed),,,,
11410_40,Low (Surface),,,,
11410_40,All Fires,8,100,,
11420_8,Replacement,25,72,,
11420_8,Moderate (Mixed),,,,
11420_8,Low (Surface),64,28,,
11420_8,All Fires,18,100,,
11420_9_10,Replacement,25,100,,
11420_9_10,Moderate (Mixed),,,,
11420_9_10,Low (Surface),,,,
11420_9_10,All Fires,25,100,,
11430_9_19_21_28,Replacement,521,100,,
11430_9_19_21_28,Moderate (Mixed),,,,
11430_9_19_21_28,Low (Surface),,,,
11430_9_19_21_28,All Fires,521,100,,
11440_12_16_19_28,Replacement,203,100,,
11440_12_16_19_28,Moderate (Mixed),,,,
11440_12_16_19_28,Low (Surface),,,,
11440_12_16_19_28,All Fires,203,100,,
11440_21_22,Replacement,511,100,,
11440_21_22,Moderate (Mixed),,,,
11440_21_22,Low (Surface),,,,
11440_21_22,All Fires,511,100,,
11450_13,Replacement,40,80,,
11450_13,Moderate (Mixed),159,20,,
11450_13,Low (Surface),,,,
11450_13,All Fires,32,100,,
11450_16,Replacement,39,80,,
11450_16,Moderate (Mixed),156,20,,
11450_16,Low (Surface),,,,
11450_16,All Fires,31,100,,
11450_17,Replacement,39,100,,
11450_17,Moderate (Mixed),,,,
11450_17,Low (Surface),,,,
11450_17,All Fires,39,100,,
11450_20,Replacement,84,100,30,200
11450_20,Moderate (Mixed),,,,
11450_20,Low (Surface),,,,
11450_20,All Fires,84,100,,
11450_21,Replacement,40,100,30,300
11450_21,Moderate (Mixed),,,,
11450_21,Low (Surface),,,,
11450_21,All Fires,40,100,,
11450_22_24_28,Replacement,40,80,,
11450_22_24_28,Moderate (Mixed),162,20,,
11450_22_24_28,Low (Surface),,,,
11450_22_24_28,All Fires,32,100,,
11450_29,Replacement,84,100,30,200
11450_29,Moderate (Mixed),,,,
11450_29,Low (Surface),,,,
11450_29,All Fires,84,100,,
11450_9_10_19,Replacement,40,80,,
11450_9_10_19,Moderate (Mixed),161,20,,
11450_9_10_19,Low (Surface),,,,
11450_9_10_19,All Fires,32,100,,
11460_15_16_23_24_25_28,Replacement,19,52,10,100
11460_15_16_23_24_25_28,Moderate (Mixed),,,,
11460_15_16_23_24_25_28,Low (Surface),21,48,,
11460_15_16_23_24_25_28,All Fires,10,100,,
11460_26,Replacement,,,,
11460_26,Moderate (Mixed),,,,
11460_26,Low (Surface),,,,
11460_26,All Fires,,,,
11460_27,Replacement,23,100,10,100
11460_27,Moderate (Mixed),,,,
11460_27,Low (Surface),,,,
11460_27,All Fires,23,100,,
11470_27_33,Replacement,24,100,2,30
11470_27_33,Moderate (Mixed),,,,
11470_27_33,Low (Surface),,,,
11470_27_33,All Fires,24,100,,
11470_28,Replacement,12,87,2,35
11470_28,Moderate (Mixed),79,13,,
11470_28,Low (Surface),,,,
11470_28,All Fires,10,100,,
11480_20_29_30,Replacement,22,100,2,100
11480_20_29_30,Moderate (Mixed),,,,
11480_20_29_30,Low (Surface),,,,
11480_20_29_30,All Fires,22,100,,
11480_31_38,Replacement,15,28,2,20
11480_31_38,Moderate (Mixed),12,36,,
11480_31_38,Low (Surface),12,36,,
11480_31_38,All Fires,4,100,,
11480_32,Replacement,13,88,,
11480_32,Moderate (Mixed),201,6,,
11480_32,Low (Surface),205,6,,
11480_32,All Fires,12,100,,
11480_34_35,Replacement,13,100,,
11480_34_35,Moderate (Mixed),,,,
11480_34_35,Low (Surface),,,,
11480_34_35,All Fires,13,100,,
11490_25,Replacement,19,100,4,30
11490_25,Moderate (Mixed),,,,
11490_25,Low (Surface),,,,
11490_25,All Fires,19,100,,
11490_26,Replacement,5,100,,
11490_26,Moderate (Mixed),,,,
11490_26,Low (Surface),,,,
11490_26,All Fires,5,100,,
11490_27_38,Replacement,22,100,,
11490_27_38,Moderate (Mixed),,,,
11490_27_38,Low (Surface),,,,
11490_27_38,All Fires,22,100,,
11490_28,Replacement,13,83,2,35
11490_28,Moderate (Mixed),60,17,,
11490_28,Low (Surface),,,,
11490_28,All Fires,10,100,,
11490_29,Replacement,21,100,,
11490_29,Moderate (Mixed),,,,
11490_29,Low (Surface),,,,
11490_29,All Fires,21,100,,
11490_31_33,Replacement,21,100,,
11490_31_33,Moderate (Mixed),,,,
11490_31_33,Low (Surface),,,,
11490_31_33,All Fires,21,100,,
11490_34_35,Replacement,NA,NA,,
11490_34_35,Moderate (Mixed),NA,NA,,
11490_34_35,Low (Surface),NA,NA,,
11490_34_35,All Fires,NA,NA,,
11500_31_39_40,Replacement,5,98,3,5
11500_31_39_40,Moderate (Mixed),,,,
11500_31_39_40,Low (Surface),253,2,1,300
11500_31_39_40,All Fires,5,100,,
11500_38,Replacement,5,98,3,5
11500_38,Moderate (Mixed),,,,
11500_38,Low (Surface),341,2,,
11500_38,All Fires,5,100,,
11510_4_5,Replacement,,,,
11510_4_5,Moderate (Mixed),,,,
11510_4_5,Low (Surface),,,,
11510_4_5,All Fires,,,,
11520_2_3_7,Replacement,64,55,,
11520_2_3_7,Moderate (Mixed),79,45,,
11520_2_3_7,Low (Surface),,,,
11520_2_3_7,All Fires,35,100,,
11520_4_5,Replacement,100,43,,
11520_4_5,Moderate (Mixed),76,57,,
11520_4_5,Low (Surface),,,,
11520_4_5,All Fires,43,100,,
11520_6,Replacement,89,52,,
11520_6,Moderate (Mixed),96,48,,
11520_6,Low (Surface),,,,
11520_6,All Fires,46,100,,
11530_16_23_24_25_27,Replacement,204,100,100,800
11530_16_23_24_25_27,Moderate (Mixed),,,,
11530_16_23_24_25_27,Low (Surface),,,,
11530_16_23_24_25_27,All Fires,204,100,,
11530_20_22_29_30,Replacement,209,100,100,800
11530_20_22_29_30,Moderate (Mixed),,,,
11530_20_22_29_30,Low (Surface),,,,
11530_20_22_29_30,All Fires,209,100,,
11530_28,Replacement,204,100,100,800
11530_28,Moderate (Mixed),,,,
11530_28,Low (Surface),,,,
11530_28,All Fires,204,100,,
11530_6_10_12_13_17_18_19_21,Replacement,1049,100,500,2000
11530_6_10_12_13_17_18_19_21,Moderate (Mixed),,,,
11530_6_10_12_13_17_18_19_21,Low (Surface),,,,
11530_6_10_12_13_17_18_19_21,All Fires,1049,100,,
11530_7_8_9,Replacement,1020,100,500,2000
11530_7_8_9,Moderate (Mixed),,,,
11530_7_8_9,Low (Surface),,,,
11530_7_8_9,All Fires,1020,100,,
11540_1_7_8_9,Replacement,98,100,,
11540_1_7_8_9,Moderate (Mixed),,,,
11540_1_7_8_9,Low (Surface),,,,
11540_1_7_8_9,All Fires,98,100,,
11540_10_19,Replacement,174,100,,
11540_10_19,Moderate (Mixed),,,,
11540_10_19,Low (Surface),,,,
11540_10_19,All Fires,174,100,,
11540_13,Replacement,68,100,,
11540_13,Moderate (Mixed),,,,
11540_13,Low (Surface),,,,
11540_13,All Fires,68,100,,
11540_18,Replacement,173,100,,
11540_18,Moderate (Mixed),,,,
11540_18,Low (Surface),,,,
11540_18,All Fires,173,100,,
11540_6_12_16_17,Replacement,378,100,,
11540_6_12_16_17,Moderate (Mixed),,,,
11540_6_12_16_17,Low (Surface),,,,
11540_6_12_16_17,All Fires,378,100,,
11550_13_14,Replacement,784,3,500,1000
11550_13_14,Moderate (Mixed),23,97,,
11550_13_14,Low (Surface),,,,
11550_13_14,All Fires,23,100,,
11550_15,Replacement,763,10,500,1000
11550_15,Moderate (Mixed),82,90,,
11550_15,Low (Surface),,,,
11550_15,All Fires,74,100,,
11550_25,Replacement,225,100,,
11550_25,Moderate (Mixed),,,,
11550_25,Low (Surface),,,,
11550_25,All Fires,225,100,,
11550_26_35,Replacement,,,,
11550_26_35,Moderate (Mixed),,,,
11550_26_35,Low (Surface),,,,
11550_26_35,All Fires,,,,
11550_4,Replacement,797,3,500,1000
11550_4,Moderate (Mixed),24,97,,
11550_4,Low (Surface),,,,
11550_4,All Fires,23,100,,
11552_13_14_15,Replacement,733,100,500,1000
11552_13_14_15,Moderate (Mixed),,,,
11552_13_14_15,Low (Surface),,,,
11552_13_14_15,All Fires,733,100,,
11560_1_2_7,Replacement,755,100,,
11560_1_2_7,Moderate (Mixed),,,,
11560_1_2_7,Low (Surface),,,,
11560_1_2_7,All Fires,755,100,,
11570_1_2,Replacement,,,,
11570_1_2,Moderate (Mixed),,,,
11570_1_2,Low (Surface),,,,
11570_1_2,All Fires,,,,
11581_1_2_7,Replacement,1893,46,,
11581_1_2_7,Moderate (Mixed),1605,54,,
11581_1_2_7,Low (Surface),,,,
11581_1_2_7,All Fires,868,100,,
11582_1_2_7,Replacement,470,33,,
11582_1_2_7,Moderate (Mixed),236,67,,
11582_1_2_7,Low (Surface),,,,
11582_1_2_7,All Fires,157,100,,
11590_10_19,Replacement,99,50,100,150
11590_10_19,Moderate (Mixed),100,50,,
11590_10_19,Low (Surface),,,,
11590_10_19,All Fires,50,100,,
11590_12_17,Replacement,378,100,,
11590_12_17,Moderate (Mixed),,,,
11590_12_17,Low (Surface),,,,
11590_12_17,All Fires,378,100,,
11590_13,Replacement,68,100,15,90
11590_13,Moderate (Mixed),,,,
11590_13,Low (Surface),,,,
11590_13,All Fires,68,100,,
11590_15,Replacement,54,12,,
11590_15,Moderate (Mixed),,,,
11590_15,Low (Surface),8,88,,
11590_15,All Fires,7,100,,
11590_16_23_24_26,Replacement,269,23,,
11590_16_23_24_26,Moderate (Mixed),,,,
11590_16_23_24_26,Low (Surface),79,77,,
11590_16_23_24_26,All Fires,61,100,,
11590_18,Replacement,173,100,,
11590_18,Moderate (Mixed),,,,
11590_18,Low (Surface),,,,
11590_18,All Fires,173,100,,
11590_20,Replacement,101,53,75,275
11590_20,Moderate (Mixed),115,47,,
11590_20,Low (Surface),,,,
11590_20,All Fires,54,100,,
11590_21,Replacement,182,100,75,275
11590_21,Moderate (Mixed),,,,
11590_21,Low (Surface),,,,
11590_21,All Fires,182,100,,
11590_22,Replacement,276,23,,
11590_22,Moderate (Mixed),,,,
11590_22,Low (Surface),81,77,,
11590_22,All Fires,63,100,,
11590_25,Replacement,271,23,,
11590_25,Moderate (Mixed),,,,
11590_25,Low (Surface),79,77,,
11590_25,All Fires,61,100,,
11590_27_33,Replacement,274,23,,
11590_27_33,Moderate (Mixed),,,,
11590_27_33,Low (Surface),80,77,,
11590_27_33,All Fires,62,100,,
11590_28,Replacement,273,23,,
11590_28,Moderate (Mixed),,,,
11590_28,Low (Surface),80,77,,
11590_28,All Fires,62,100,,
11590_29,Replacement,100,54,75,275
11590_29,Moderate (Mixed),118,46,,
11590_29,Low (Surface),,,,
11590_29,All Fires,54,100,,
11590_8_9,Replacement,100,50,100,150
11590_8_9,Moderate (Mixed),101,50,,
11590_8_9,Low (Surface),,,,
11590_8_9,All Fires,50,100,,
11600_10_19,Replacement,198,40,,
11600_10_19,Moderate (Mixed),132,60,,
11600_10_19,Low (Surface),,,,
11600_10_19,All Fires,79,100,,
11600_12_17,Replacement,271,23,,
11600_12_17,Moderate (Mixed),,,,
11600_12_17,Low (Surface),79,77,,
11600_12_17,All Fires,61,100,,
11600_15_28,Replacement,268,23,,
11600_15_28,Moderate (Mixed),,,,
11600_15_28,Low (Surface),79,77,,
11600_15_28,All Fires,61,100,,
11600_16,Replacement,269,23,,
11600_16,Moderate (Mixed),,,,
11600_16,Low (Surface),79,77,,
11600_16,All Fires,61,100,,
11600_18,Replacement,67,63,,
11600_18,Moderate (Mixed),,,,
11600_18,Low (Surface),113,37,,
11600_18,All Fires,42,100,,
11600_20_29,Replacement,299,50,100,500
11600_20_29,Moderate (Mixed),296,50,,
11600_20_29,Low (Surface),,,,
11600_20_29,All Fires,149,100,,
11600_21,Replacement,335,89,100,500
11600_21,Moderate (Mixed),2765,11,,
11600_21,Low (Surface),,,,
11600_21,All Fires,299,100,,
11600_23,Replacement,271,22,,
11600_23,Moderate (Mixed),,,,
11600_23,Low (Surface),78,78,,
11600_23,All Fires,61,100,,
11600_8_9,Replacement,202,40,,
11600_8_9,Moderate (Mixed),134,60,,
11600_8_9,Low (Surface),,,,
11600_8_9,All Fires,80,100,,
11610_21,Replacement,392,100,250,750
11610_21,Moderate (Mixed),,,,
11610_21,Low (Surface),,,,
11610_21,All Fires,392,100,,
11610_9_10_19,Replacement,377,100,250,750
11610_9_10_19,Moderate (Mixed),,,,
11610_9_10_19,Low (Surface),,,,
11610_9_10_19,All Fires,377,100,,
11620_20,Replacement,107,54,,
11620_20,Moderate (Mixed),249,23,,
11620_20,Low (Surface),249,23,,
11620_20,All Fires,58,100,,
11620_22,Replacement,574,18,,
11620_22,Moderate (Mixed),126,82,,
11620_22,Low (Surface),,,,
11620_22,All Fires,103,100,,
11620_27_33,Replacement,,,,
11620_27_33,Moderate (Mixed),27,100,,
11620_27_33,Low (Surface),,,,
11620_27_33,All Fires,27,100,,
11620_29_30,Replacement,111,46,,
11620_29_30,Moderate (Mixed),147,34,,
11620_29_30,Low (Surface),257,20,,
11620_29_30,All Fires,51,100,,
11620_31_39_40,Replacement,245,20,,
11620_31_39_40,Moderate (Mixed),92,54,,
11620_31_39_40,Low (Surface),192,26,,
11620_31_39_40,All Fires,50,100,,
11620_32_35,Replacement,181,7,,
11620_32_35,Moderate (Mixed),,,,
11620_32_35,Low (Surface),14,93,,
11620_32_35,All Fires,13,100,,
11620_34,Replacement,76,100,,
11620_34,Moderate (Mixed),,,,
11620_34,Low (Surface),,,,
11620_34,All Fires,76,100,,
11620_38,Replacement,241,21,,
11620_38,Moderate (Mixed),94,54,,
11620_38,Low (Surface),201,25,,
11620_38,All Fires,51,100,,
11630_3_4_5,Replacement,16,69,,
11630_3_4_5,Moderate (Mixed),35,31,,
11630_3_4_5,Low (Surface),,,,
11630_3_4_5,All Fires,11,100,,
11650_1_7_8,Replacement,125,43,,
11650_1_7_8,Moderate (Mixed),400,14,,
11650_1_7_8,Low (Surface),127,43,,
11650_1_7_8,All Fires,54,100,,
11650_9,Replacement,208,9,100,300
11650_9,Moderate (Mixed),152,12,,
11650_9,Low (Surface),23,79,15,40
11650_9,All Fires,18,100,,
11660_21,Replacement,295,14,200,300
11660_21,Moderate (Mixed),46,86,20,80
11660_21,Low (Surface),,,200,400
11660_21,All Fires,40,100,,
11660_22,Replacement,206,16,100,300
11660_22,Moderate (Mixed),53,60,20,80
11660_22,Low (Surface),137,24,15,400
11660_22,All Fires,32,100,,
11660_29,Replacement,210,9,100,300
11660_29,Moderate (Mixed),110,17,30,110
11660_29,Low (Surface),25,74,15,40
11660_29,All Fires,18,100,,
11660_9_10_19,Replacement,112,24,,
11660_9_10_19,Moderate (Mixed),55,50,,
11660_9_10_19,Low (Surface),107,26,,
11660_9_10_19,All Fires,27,100,,
11662_19,Replacement,202,9,100,300
11662_19,Moderate (Mixed),151,12,,
11662_19,Low (Surface),23,79,15,40
11662_19,All Fires,18,100,,
11670_1_7_9,Replacement,111,50,20,200
11670_1_7_9,Moderate (Mixed),113,50,,
11670_1_7_9,Low (Surface),,,,
11670_1_7_9,All Fires,56,100,,
11670_10_19,Replacement,332,88,300,600
11670_10_19,Moderate (Mixed),2465,12,,
11670_10_19,Low (Surface),,,,
11670_10_19,All Fires,292,100,,
11670_21,Replacement,331,63,100,400
11670_21,Moderate (Mixed),563,37,200,4000
11670_21,Low (Surface),,,,
11670_21,All Fires,208,100,,
11700_2_3_7,Replacement,200,7,100,300
11700_2_3_7,Moderate (Mixed),,,,
11700_2_3_7,Low (Surface),14,93,10,20
11700_2_3_7,All Fires,13,100,,
11710_1,Replacement,509,100,75,500
11710_1,Moderate (Mixed),,,,
11710_1,Low (Surface),,,,
11710_1,All Fires,509,100,,
11710_7,Replacement,202,100,75,500
11710_7,Moderate (Mixed),,,,
11710_7,Low (Surface),,,,
11710_7,All Fires,202,100,,
11720_7,Replacement,203,12,,
11720_7,Moderate (Mixed),65,36,,
11720_7,Low (Surface),46,52,,
11720_7,All Fires,24,100,,
11730_1_7,Replacement,490,100,,
11730_1_7,Moderate (Mixed),,,,
11730_1_7,Low (Surface),,,,
11730_1_7,All Fires,490,100,,
11740_1_7,Replacement,330,48,100,800
11740_1_7,Moderate (Mixed),305,52,100,400
11740_1_7,Low (Surface),,,,
11740_1_7,All Fires,158,100,,
11770_3,Replacement,46,48,,
11770_3,Moderate (Mixed),87,26,,
11770_3,Low (Surface),87,26,,
11770_3,All Fires,22,100,,
11770_4,Replacement,41,90,,
11770_4,Moderate (Mixed),347,10,,
11770_4,Low (Surface),,,,
11770_4,All Fires,36,100,,
11780_1_2_7,Replacement,,,,
11780_1_2_7,Moderate (Mixed),,,,
11780_1_2_7,Low (Surface),,,,
11780_1_2_7,All Fires,,,,
11790_31,Replacement,419,3,,
11790_31,Moderate (Mixed),101,14,,
11790_31,Low (Surface),17,83,3,70
11790_31,All Fires,14,100,,
11791_29_30,Replacement,311,6,100,400
11791_29_30,Moderate (Mixed),267,7,50,400
11791_29_30,Low (Surface),20,87,5,50
11791_29_30,All Fires,18,100,,
11792_29_30,Replacement,382,4,,
11792_29_30,Moderate (Mixed),,,,
11792_29_30,Low (Surface),15,96,3,70
11792_29_30,All Fires,15,100,,
13010_40,Replacement,82,100,,
13010_40,Moderate (Mixed),,,,
13010_40,Low (Surface),,,,
13010_40,All Fires,82,100,,
13020_40,Replacement,2117,100,,
13020_40,Moderate (Mixed),,,,
13020_40,Low (Surface),,,,
13020_40,All Fires,2117,100,,
13020_63,Replacement,1994,100,,
13020_63,Moderate (Mixed),,,,
13020_63,Low (Surface),,,,
13020_63,All Fires,1994,100,,
13020_64,Replacement,2098,100,,
13020_64,Moderate (Mixed),,,,
13020_64,Low (Surface),,,,
13020_64,All Fires,2098,100,,
13020_65_66,Replacement,992,100,,
13020_65_66,Moderate (Mixed),,,,
13020_65_66,Low (Surface),,,,
13020_65_66,All Fires,992,100,,
13022_41_50_51,Replacement,2042,100,,
13022_41_50_51,Moderate (Mixed),,,,
13022_41_50_51,Low (Surface),,,,
13022_41_50_51,All Fires,2042,100,,
13023_51,Replacement,1012,100,,
13023_51,Moderate (Mixed),,,,
13023_51,Low (Surface),,,,
13023_51,All Fires,1012,100,,
13030_60,Replacement,7,53,,
13030_60,Moderate (Mixed),17,22,,
13030_60,Low (Surface),15,25,,
13030_60,All Fires,4,100,,
13030_61_63_64_65_66,Replacement,38,14,,
13030_61_63_64_65_66,Moderate (Mixed),24,23,5,50
13030_61_63_64_65_66,Low (Surface),9,63,2,25
13030_61_63_64_65_66,All Fires,5,100,,
13030_62,Replacement,39,15,,
13030_62,Moderate (Mixed),52,11,5,50
13030_62,Low (Surface),8,74,2,25
13030_62,All Fires,6,100,,
13040_32_43_44_49,Replacement,186,6,50,300
13040_32_43_44_49,Moderate (Mixed),66,17,20,150
13040_32_43_44_49,Low (Surface),15,77,5,35
13040_32_43_44_49,All Fires,11,100,,
13050_47_48,Replacement,6,78,1,25
13050_47_48,Moderate (Mixed),198,2,,
13050_47_48,Low (Surface),21,20,2,25
13050_47_48,All Fires,4,100,,
13050_49,Replacement,62,12,1,25
13050_49,Moderate (Mixed),119,6,,
13050_49,Low (Surface),9,82,2,25
13050_49,All Fires,8,100,,
13050_53,Replacement,2,89,1,25
13050_53,Moderate (Mixed),1004,,5,50
13050_53,Low (Surface),15,11,2,25
13050_53,All Fires,2,100,,
13060_47_48,Replacement,383,2,,
13060_47_48,Moderate (Mixed),87,10,,
13060_47_48,Low (Surface),9,88,,
13060_47_48,All Fires,8,100,,
13070_46_47_48,Replacement,392,2,,
13070_46_47_48,Moderate (Mixed),91,9,,
13070_46_47_48,Low (Surface),9,89,,
13070_46_47_48,All Fires,8,100,,
13080_32_35,Replacement,157,3,,
13080_32_35,Moderate (Mixed),93,5,,
13080_32_35,Low (Surface),5,92,,
13080_32_35,All Fires,5,100,,
13080_38_43_44,Replacement,158,3,,
13080_38_43_44,Moderate (Mixed),94,5,,
13080_38_43_44,Low (Surface),5,92,,
13080_38_43_44,All Fires,5,100,,
13090_53_57,Replacement,691,25,,
13090_53_57,Moderate (Mixed),675,25,,
13090_53_57,Low (Surface),347,50,,
13090_53_57,All Fires,172,100,,
13100_38_42_43,Replacement,128,19,,
13100_38_42_43,Moderate (Mixed),51,49,,
13100_38_42_43,Low (Surface),78,32,,
13100_38_42_43,All Fires,25,100,,
13100_39,Replacement,113,17,,
13100_39,Moderate (Mixed),43,43,,
13100_39,Low (Surface),47,40,,
13100_39,All Fires,19,100,,
13100_41_62,Replacement,75,18,,
13100_41_62,Moderate (Mixed),57,24,,
13100_41_62,Low (Surface),23,58,2,25
13100_41_62,All Fires,13,100,,
13100_44_50,Replacement,120,20,,
13100_44_50,Moderate (Mixed),48,48,,
13100_44_50,Low (Surface),74,32,,
13100_44_50,All Fires,23,100,,
13100_47,Replacement,166,6,,
13100_47,Moderate (Mixed),164,6,,
13100_47,Low (Surface),11,88,,
13100_47,All Fires,10,100,,
13100_49,Replacement,75,17,,
13100_49,Moderate (Mixed),47,27,,
13100_49,Low (Surface),23,56,2,25
13100_49,All Fires,13,100,,
13100_51,Replacement,160,6,,
13100_51,Moderate (Mixed),160,6,,
13100_51,Low (Surface),10,88,,
13100_51,All Fires,9,100,,
13100_52,Replacement,73,17,,
13100_52,Moderate (Mixed),46,27,,
13100_52,Low (Surface),22,56,2,25
13100_52,All Fires,12,100,,
13110_39,Replacement,77,17,,
13110_39,Moderate (Mixed),86,15,,
13110_39,Low (Surface),19,68,,
13110_39,All Fires,13,100,,
13110_42_43,Replacement,141,6,,
13110_42_43,Moderate (Mixed),111,8,,
13110_42_43,Low (Surface),11,86,,
