bps_model_id,severity,return_interval(years),percent_of_all_fires
10360_1_2,Replacement,680.0,100.0
10360_1_2,Moderate (Mixed),,
10360_1_2,Low (Surface),,
10360_1_2,All Fires,680.0,100.0
10370_1_2_7,Replacement,333.0,24.0
10370_1_2_7,Moderate (Mixed),104.0,76.0
10370_1_2_7,Low (Surface),,
10370_1_2_7,All Fires,79.0,100.0
10380_1_7,Replacement,5066.0,100.0
10380_1_7,Moderate (Mixed),,
10380_1_7,Low (Surface),,
10380_1_7,All Fires,5066.0,100.0
10390_1_2_3_7,Replacement,398.0,100.0
10390_1_2_3_7,Moderate (Mixed),,
10390_1_2_3_7,Low (Surface),,
10390_1_2_3_7,All Fires,398.0,100.0
10411_1_7,Replacement,10549.0,32.0
10411_1_7,Moderate (Mixed),5051.0,68.0
10411_1_7,Low (Surface),,
10411_1_7,All Fires,3415.0,100.0
10412_1_7,Replacement,300.0,56.0
10412_1_7,Moderate (Mixed),627.0,27.0
10412_1_7,Low (Surface),1021.0,17.0
10412_1_7,All Fires,169.0,100.0
10420_1_7,Replacement,3639.0,33.0
10420_1_7,Moderate (Mixed),1771.0,67.0
10420_1_7,Low (Surface),,
10420_1_7,All Fires,1191.0,100.0
10430_5,Replacement,315.0,3.0
10430_5,Moderate (Mixed),66.0,14.0
10430_5,Low (Surface),11.0,83.0
10430_5,All Fires,9.0,100.0
10431_2_3_6_7,,,
10431_2_3_6_7,,,
10431_2_3_6_7,,,
10431_2_3_6_7,,,
10431_2_3_6_7,,,
10431_2_3_6_7,,,
10431_2_3_6_7,,,
10432_2_3,,,
10432_2_3,,,
10432_2_3,,,
10432_2_3,,,
10432_2_3,,,
10432_2_3,,,
10432_2_3,,,
10432_2_3,,,
10432_2_3,,,
10440_3_6_7,Replacement,507.0,65.0
10440_3_6_7,Moderate (Mixed),935.0,35.0
10440_3_6_7,Low (Surface),,
10440_3_6_7,All Fires,329.0,100.0
10450_1_7_8_9,Replacement,184.0,12.0
10450_1_7_8_9,Moderate (Mixed),107.0,21.0
10450_1_7_8_9,Low (Surface),32.0,67.0
10450_1_7_8_9,All Fires,22.0,100.0
10450_21,Replacement,75.0,50.0
10450_21,Moderate (Mixed),106.0,36.0
10450_21,Low (Surface),266.0,14.0
10450_21,All Fires,38.0,100.0
10451_10_19,Replacement,149.0,13.0
10451_10_19,Moderate (Mixed),52.0,38.0
10451_10_19,Low (Surface),39.0,49.0
10451_10_19,All Fires,19.0,100.0
10451_20,Replacement,166.0,13.0
10451_20,Moderate (Mixed),52.0,40.0
10451_20,Low (Surface),44.0,47.0
10451_20,All Fires,21.0,100.0
10452_10_19,Replacement,202.0,19.0
10452_10_19,Moderate (Mixed),69.0,54.0
10452_10_19,Low (Surface),138.0,27.0
10452_10_19,All Fires,38.0,100.0
