bps_model_id,symbol,scientific_name,common_name
10230_14_15_24_25,JUDE,Juncus debilis,Weak rush
10230_14_15_24_25,PIEN2,Pinus engelmannii,Apache pine
10230_14_15_24_25,MUHLE,Muhlenbergia,Muhly
10230_14_15_24_25,PIPO,Pinus ponderosa,Ponderosa pine
10240_14_15_24,QUEM,Quercus emoryi,Emory oak
10240_14_15_24,JUDE,Juncus debilis,Weak rush
10240_14_15_24,PIEN2,Pinus engelmannii,Apache pine
10240_14_15_24,MUHLE,Muhlenbergia,Muhly
10240_14_15_24,PIPO,Pinus ponderosa,Ponderosa pine
10240_25_27,QUAR,Quercus arizonica,Arizona white oak
10240_25_27,PIAR5,Pinus arizonica,Arizona pine
10240_25_27,PIEN2,Pinus engelmannii,Apache pine
10240_25_27,QUEM,Quercus emoryi,Emory oak
10240_25_27,PIST3,Pinus strobiformis,Southwestern white pine
10240_25_27,PILE,Pinus leiophylla,Chihuahuan pine
10240_26,QUERC,Quercus,Oak
10240_26,JUDE,Juncus debilis,Weak rush
10240_26,CEMO2,Cercocarpus montanus,Alderleaf mountain mahogany
10240_26,MUHLE,Muhlenbergia,Muhly
10240_26,PIPO,Pinus ponderosa,Ponderosa pine
10250_14_15_24_25_26,JUDE,Juncus debilis,Weak rush
10250_14_15_24_25_26,PIED,Pinus edulis,Twoneedle pinyon
10250_14_15_24_25_26,PIDI3,Pinus discolor,Border pinyon
10250_14_15_24_25_26,QUAR,Quercus arizonica,Arizona white oak
10250_14_15_24_25_26,QUEM,Quercus emoryi,Emory oak
10250_14_15_24_25_26,QUGR3,Quercus grisea,Gray oak
10250_14_15_24_25_26,QUOB,Quercus oblongifolia,Mexican blue oak
10250_14_15_24_25_26,PILE,Pinus leiophylla,Chihuahuan pine
10250_14_15_24_25_26,QUMO,Quercus mohriana,Mohr oak
10260_15,PSME,Pseudotsuga menziesii,Douglas-fir
10260_15,ABCO,Abies concolor,White fir
10260_15,QUHY,Quercus hypoleucoides,Silverleaf oak
10260_15,QURU4,Quercus rugosa,Netleaf oak
10270_2_3_7,,,
10270_2_3_7,,,
10270_2_3_7,,,
10270_2_3_7,,,
10270_2_3_7,,,
10270_2_3_7,,,
10270_2_3_7,,,
10270_2_3_7,,,
10270_2_3_7,,,
10270_2_3_7,,,
10270_2_3_7,,,
10270_2_3_7,,,
10270_2_3_7,,,
10270_2_3_7,,,
10270_2_3_7,,,
10270_4_5_6,PIPO,Pinus ponderosa,Ponderosa pine
10270_4_5_6,PILA,Pinus lambertiana,Sugar pine
10270_4_5_6,QUKE,Quercus kelloggii,California black oak
10270_4_5_6,CADE27,Calocedrus decurrens,Incense cedar
10270_4_5_6,ABCO,Abies concolor,White fir
10270_4_5_6,,,
10280_2_3,,,
10280_2_3,,,
10280_2_3,,,
10280_2_3,,,
10280_2_3,,,
10280_2_3,,,
10280_2_3,,,
10280_2_3,,,
10280_2_3,,,
10280_2_3,,,
10280_2_3,,,
10280_2_3,,,
10280_2_3,,,
10280_2_3,,,
10280_2_3,,,
10280_2_3,,,
10280_2_3,,,
10280_2_3,,,
10280_2_3,,,
10280_2_3,,,
10280_2_3,,,
10280_2_3,,,
10280_2_3,,,
10280_2_3,,,
10280_2_3,,,
10280_4_6_7_12,ABCO,Abies concolor,White fir
10280_4_6_7_12,PSME,Pseudotsuga menziesii,Douglas-fir
