bps_model_id,symbol,scientific_name,common_name
11010_26,QUGR3,Quercus grisea,Gray oak
11010_26,QUMO,Quercus mohriana,Mohr oak
11010_26,QUIN3,Quercus intricata,Dwarf oak
11010_26,RHVI3,Rhus virens,Evergreen sumac
11020_13_15_16_23_24,PIED,Pinus edulis,Twoneedle pinyon
11020_13_15_16_23_24,JUOS,Juniperus osteosperma,Utah juniper
11020_13_15_16_23_24,ARTR2,Artemisia tridentata,Big sagebrush
11020_28,JUOS,Juniperus osteosperma,Utah juniper
11020_28,PIED,Pinus edulis,Twoneedle pinyon
11020_28,PIPO,Pinus ponderosa,Ponderosa pine
11020_28,JUSC2,Juniperus scopulorum,Rocky mountain juniper
11020_28,ARTR2,Artemisia tridentata,Big sagebrush
11030_6_7_12_13_16_17_23,ARPA6,Arctostaphylos patula,Greenleaf manzanita
11030_6_7_12_13_16_17_23,ARPU5,Arctostaphylos pungens,Pointleaf manzanita
11030_6_7_12_13_16_17_23,CEGR,Ceanothus greggii,Desert ceanothus
11030_6_7_12_13_16_17_23,CEMOG,Cercocarpus montanus var. glaber,Birchleaf mountain mahogany
11030_6_7_12_13_16_17_23,CEIN7,Cercocarpus intricatus,Littleleaf mountain mahogany
11030_6_7_12_13_16_17_23,ERFA2,Eriogonum fasciculatum,Eastern Mojave buckwheat
11030_6_7_12_13_16_17_23,GAFL2,Garrya flavescens,Ashy silktassel
11030_6_7_12_13_16_17_23,QUTU2,Quercus turbinella,Sonoran scrub oak
11040_13_14_25,CAHO3,Canotia holacantha,Crucifixion thorn
11040_13_14_25,ARPU5,Arctostaphylos pungens,Pointleaf manzanita
11040_13_14_25,CEGR,Ceanothus greggii,Desert ceanothus
11040_13_14_25,CEMO2,Cercocarpus montanus,Alderleaf mountain mahogany
11040_13_14_25,QUTU2,Quercus turbinella,Sonoran scrub oak
11040_13_14_25,PUST,Purshia stansburiana,Stansbury cliffrose
11040_13_14_25,QUPA4,Quercus pauciloba,Quercus pauciloba
11040_15,QUTU2,Quercus turbinella,Sonoran scrub oak
11040_15,QUTO2,Quercus toumeyi,Toumey oak
11040_15,CEMO2,Cercocarpus montanus,Alderleaf mountain mahogany
11040_15,CAHO3,Canotia holacantha,Crucifixion thorn
11040_15,CEGR,Ceanothus greggii,Desert ceanothus
11040_15,FOPU2,Forestiera pubescens,Stretchberry
11040_15,GAWR3,Garrya wrightii,Wright's silktassel
11040_15,RHOV,Rhus ovata,Sugar sumac
11040_17,CAHO3,Canotia holacantha,Crucifixion thorn
11040_17,ARPU5,Arctostaphylos pungens,Pointleaf manzanita
11040_17,CEGR,Ceanothus greggii,Desert ceanothus
11040_17,CEMO2,Cercocarpus montanus,Alderleaf mountain mahogany
11040_17,QUTU2,Quercus turbinella,Sonoran scrub oak
11040_17,PUST,Purshia stansburiana,Stansbury cliffrose
11040_23_24,QUTO2,Quercus toumeyi,Toumey oak
11040_23_24,QUTU2,Quercus turbinella,Sonoran scrub oak
11040_23_24,CEMO2,Cercocarpus montanus,Alderleaf mountain mahogany
11040_23_24,CAHO3,Canotia holacantha,Crucifixion thorn
11040_23_24,ARPR,Arctostaphylos pringlei,Pringle manzanita
11050_3_ 6_7,ADFA,Adenostoma fasciculatum,Chamise
11050_3_ 6_7,CECU,Ceanothus cuneatus,Buckbrush
11050_3_ 6_7,ARCTO3,Arctostaphylos,Manzanita
11050_3_ 6_7,FRCA6,Fremontodendron californicum,California flannelbush
11050_3_ 6_7,MAFA,Malacothamnus fasciculatus,Mendocino bushmallow
11050_3_ 6_7,DERI,Dendromecon rigida,Tree poppy
11050_3_ 6_7,PIMO5,Pickeringia montana,Montana chaparral pea
11050_4_5,ADFA,Adenostoma fasciculatum,Chamise
11050_4_5,CECU,Ceanothus cuneatus,Buckbrush
11050_4_5,ARCTO3,Arctostaphylos,Manzanita
11050_4_5,FRCA6,Fremontodendron californicum,California flannelbush
11050_4_5,MAFA,Malacothamnus fasciculatus,Mendocino bushmallow
11050_4_5,DERI,Dendromecon rigida,Tree poppy
11050_4_5,PIMO5,Pickeringia montana,Montana chaparral pea
11060_1_8_9,PHMA5,Physocarpus malvaceus,Mallow ninebark
11060_1_8_9,SYAL,Symphoricarpos albus,Common snowberry
11060_1_8_9,AMAL2,Amelanchier alnifolia,Saskatoon serviceberry
11060_1_8_9,HODI,Holodiscus discolor,Oceanspray
11060_1_8_9,ROSA5,Rosa,Rose
11060_1_8_9,SPBE2,Spiraea betulifolia,White spirea
11060_1_8_9,PUTR2,Purshia tridentata,Antelope bitterbrush
11060_1_8_9,PRVI,Prunus virginiana,Chokecherry
11060_10_19,AMELA,Amelanchier,Serviceberry
11060_10_19,PURSH,Purshia,Bitterbrush
11060_10_19,SYMPH,Symphoricarpos,Snowberry
11060_10_19,PRUNU,Prunus,Plum
11060_18,PRVI,Prunus virginiana,Chokecherry
11060_18,PREM,Prunus emarginata,Bitter cherry
11060_18,ACGL,Acer glabrum,Rocky mountain maple
11060_18,PHMA5,Physocarpus malvaceus,
11060_18,SYOR2,Symphoricarpos oreophilus,Mountain snowberry
11060_18,FEID,Festuca idahoensis,Idaho fescue
11060_18,CARU,Calamagrostis rubescens,Pinegrass
11060_18,CAGE,Carex geophila,White mountain sedge
11060_20_21_29,AMELA,Amelanchier,Serviceberry
11060_20_21_29,PURSH,Purshia,Bitterbrush
11060_20_21_29,SYMPH,Symphoricarpos,Snowberry
11060_20_21_29,PRUNU,Prunus,Plum
11060_22,RIBES,Ribes,Currant
11060_22,AMELA,Amelanchier,Serviceberry
11060_22,SYMPH,Symphoricarpos,Snowberry
11060_22,PRUNU,Prunus,Plum
11060_22,POTR5,Populus tremuloides,Quaking aspen
11070_13,QUGA,Quercus gambelii,Gambel oak
11070_13,AMELA,Amelanchier,Serviceberry
11070_13,ARTR2,Artemisia tridentata,Big sagebrush
11070_13,PRVI,Prunus virginiana,Chokecherry
11070_13,PURSH,Purshia,Bitterbrush
11070_13,SYMPH,Symphoricarpos,Snowberry
11070_15,QUGA,Quercus gambelii,Gambel oak
11070_15,AMUT,Amelanchier utahensis,Utah serviceberry
11070_15,CAGE2,Carex geyeri,Geyer’s sedge
11070_15,ACLE9,Achnatherum lettermanii,Letterman’s needlegrass
11070_15,AMAL2,Amelanchier alnifolia,Saskatoon serviceberry
11070_15,PUTR2,Purshia tridentata,Antelope bitterbrush
11070_15,RONE,Robinia neomexicana,New Mexico locust
11070_15,PRVI,Prunus virginiana,Chokecherry
11070_17,QUGA,Quercus gambelii,Gambel oak
11070_17,ARTR2,Artemisia tridentata,Big sagebrush
11070_17,PRVI,Prunus virginiana,Chokecherry
11070_17,PURSH,Purshia,Bitterbrush
11070_17,SYOR2,Symphoricarpos oreophilus,Mountain snowberry
11070_23_24,QUGA,Quercus gambelii,Gambel oak
11070_23_24,AMUT,Amelanchier utahensis,Utah serviceberry
11070_23_24,CAGE2,Carex geyeri,Geyer's sedge
11070_23_24,STLE4,,
11070_25_28,QUGA,Quercus gambelii,Gambel oak
11070_25_28,AMUT,Amelanchier utahensis,Utah serviceberry
11070_25_28,CAGE2,Carex geyeri,Geyer’s sedge
11070_25_28,ACLE9,Achnatherum lettermanii,Letterman’s needlegrass
11070_25_28,AMAL2,Amelanchier alnifolia,Saskatoon serviceberry
11070_25_28,PUTR2,Purshia tridentata,Antelope bitterbrush
11070_25_28,RONE,Robinia neomexicana,New Mexico locust
11070_25_28,PRVI,Prunus virginiana,Chokecherry
11070_27_33,QUGA,Quercus gambelii,Gambel oak
11070_27_33,AMUT,Amelanchier utahensis,Utah serviceberry
11070_27_33,CAGE,Carex geophila,White mountain sedge
11070_27_33,ACHNA,Achnatherum,Needlegrass
11070_27_33,RONE,Robinia neomexicana,New Mexico locust
11070_27_33,PRVI,Prunus virginiana,Chokecherry
11070_27_33,SYMPH,Symphoricarpos,Snowberry
11071_16,QUGA,Quercus gambelii,Gambel oak
11072_16,QUGA,Quercus gambelii,Gambel oak
11080_17,QUJO3,Quercus john-tuckeri,Tucker oak
11080_17,QUCO7,Quercus cornelius-mulleri,Muller oak
11080_17,QUBE5,Quercus berberidifolia,Scrub oak
11080_17,ARPA6,Arctostaphylos patula,Greenleaf manzanita
11080_17,ARPU5,Arctostaphylos pungens,Pointleaf manzanita
11080_17,ARGL4,Arctostaphylos glauca,Bigberry manzanita
11080_17,CEMOG,Cercocarpus montanus var. glaber,Birchleaf mountain-mahogany
11080_17,GAFL2,Garrya flavescens,Ashy silktassel
11080_4_5_13_14_15_24_25,QUJO3,Quercus john-tuckeri,Tucker oak
11080_4_5_13_14_15_24_25,QUCO7,Quercus cornelius-mulleri,Muller oak
11080_4_5_13_14_15_24_25,QUBE5,Quercus berberidifolia,Scrub oak
11080_4_5_13_14_15_24_25,ARPA6,Arctostaphylos patula,Greenleaf manzanita
11080_4_5_13_14_15_24_25,ARPU5,Arctostaphylos pungens,Pointleaf manzanita
11080_4_5_13_14_15_24_25,ARGL4,Arctostaphylos glauca,Bigberry manzanita
11080_4_5_13_14_15_24_25,CEMOG,Cercocarpus montanus var. glaber,Birchleaf mountain mahogany
11080_4_5_13_14_15_24_25,GAFL2,Garrya flavescens,Ashy silktassel
11090_14,PARKI2,Parkinsonia,Paloverde
11090_14,CAGI10,Carnegiea gigantea,Saguaro
11090_14,FEROC,Ferocactus,Barrel cactus
11090_14,FOSP2,Fouquieria splendens,Ocotillo
11090_14,ACGR,Acacia greggii,Catclaw acacia
11090_14,PRVE,Prosopis velutina,Velvet mesquite
11090_14,AMDE4,Ambrosia deltoidea,Triangle burr ragweed
11090_15_25,PARKI2,Parkinsonia,Paloverde
11090_15_25,CAGI10,Carnegiea gigantea,Saguaro
11090_15_25,FEROC,Ferocactus,Barrel cactus
11090_15_25,FOSP2,Fouquieria splendens,Ocotillo
11090_15_25,ACGR,Acacia greggii,Catclaw acacia
11090_15_25,PRVE,Prosopis velutina,Velvet mesquite
11090_4_13,PARKI2,Parkinsonia,Paloverde
11090_4_13,CAGI10,Carnegiea gigantea,Saguaro
11090_4_13,FEROC,Ferocactus,Barrel cactus
11090_4_13,FOSP2,Fouquieria splendens,Ocotillo
11090_4_13,ACGR,Acacia greggii,Catclaw acacia
11090_4_13,PRVE,Prosopis velutina,Velvet mesquite
11100_4,ADFA,Adenostoma fasciculatum,Chamise
11100_4,CEME,Ceanothus megacarpus,Bigpod ceanothus
11100_4,CEGR,Ceanothus greggii,Desert ceanothus
11100_4,CELE,Ceanothus lemmonii,Lemmon's ceanothus
11100_4,ARGL4,Arctostaphylos glauca,Bigberry manzanita
11100_4,ADSP,Adenostoma sparsifolium,Redshank
11100_4,YUWH,Yucca whipplei,Chaparral yucca
11110_26,PRGL2,Prosopis glandulosa,Honey mesquite
11110_26,SCHIZ4,Schizachyrium,Little bluestem
11110_26,BOCU,Bouteloua curtipendula,Sideoats grama
11110_27_33,PRGL2,Prosopis glandulosa,Honey mesquite
11110_27_33,SCHIZ4,Schizachyrium,Little bluestem
11110_27_33,BOCU,Bouteloua curtipendula,Sideoats grama
11110_32_35,PRGL2,Prosopis glandulosa,Honey mesquite
11110_32_35,SCHIZ4,Schizachyrium,Little bluestem
11110_32_35,BOCU,Bouteloua curtipendula,Sideoats grama
11110_34,PRGL2,Prosopis glandulosa,Honey mesquite
11110_34,SCHIZ4,Schizachyrium,Little bluestem
11110_34,BOCU,Bouteloua curtipendula,Sideoats grama
11120_4_5,QULO,Quercus lobata,California white oak
11120_4_5,QUDO,Quercus douglasii,Blue oak
11120_4_5,QUWI2,Quercus wislizeni,Interior live oak
11120_4_5,QUAG,Quercus agrifolia,California live oak
11120_4_5,AECA,Aesculus californica,California buckeye
11120_4_5,RHAMN,Rhamnus,Buckthorn
11120_4_5,TODI,Toxicodendron diversilobum,Pacific poison oak
11120_4_5,HEAR5,Heteromeles arbutifolia,Toyon
11130_3,QUAG,Quercus agrifolia,California live oak
11130_3,HETER5,Heteromeles,Toyon
11130_3,TOXIC,Toxicodendron,Poison oak
11130_3,BRCA5,Bromus carinatus,California brome
11130_3,RUUR,Rubus ursinus,California blackberry
11130_3,NAPU4,Nassella pulchra,Purple tussockgrass
11130_4,QUAG,Quercus agrifolia,California live oak
11130_4,HETER5,Heteromeles,Toyon
11130_4,TODI,Toxicodendron diversilobum,Pacific poison oak
11130_4,BRCA5,Bromus carinatus,California brome
11130_4,RUUR,Rubus ursinus,California blackberry
11130_4,NAPU4,Nassella pulchra,Purple tussockgrass
11140_3_6_7,QUDO,Quercus douglasii,Blue oak
11140_3_6_7,QUWI,Quercus willdenowiana,Quercus willdenowiana
11140_3_6_7,QUAG,Quercus agrifolia,California live oak
11140_3_6_7,QULO,Quercus lobate,California white oak
11140_3_6_7,AECA,Aesculus californica,California buckeye
11140_3_6_7,ARCTO3,Arctostaphylos,Manzanita
11140_3_6_7,CECA4,Cercis canadensis,Eastern redbud
11140_3_6_7,CECU,Ceanothus cuneatus,Buckbrush
11140_4_5,QUDO,Quercus douglasii,Blue oak
11140_4_5,QUWI,Quercus willdenowiana,Quercus willdenowiana
11140_4_5,QUAG,Quercus agrifolia,California live oak
11140_4_5,QULO,Quercus lobata,California white oak
11140_4_5,AECA,Aesculus californica,California buckeye
11140_4_5,TODI,Toxicodendron diversilobum,Pacific poison oak
11140_4_5,RHIL,Rhamnus ilicifolia,Hollyleaf redberry
11140_4_5,CECU,Ceanothus cuneatus,Buckbrush
11150_10_19,JUOS,Juniperus osteosperma,Utah juniper
11150_10_19,ARNO4,Artemisia nova,Black sagebrush
11150_10_19,HECO26,Hesperostipa comata,Needle and thread
11150_10_19,ACHY,Achnatherum hymenoides,Indian ricegrass
11150_10_19,ELEL5,Elymus elymoides,Squirreltail
11150_10_19,PLJA,Pleuraphis jamesii,James' galleta
11150_13,JUOS,Juniperus osteosperma,Utah juniper
11150_13,ARNO4,Artemisia nova,Black sagebrush
11150_13,HECO26,Hesperostipa comata,Needle and thread
11150_13,ACHY,Achnatherum hymenoides,Indian ricegrass
11150_13,ELEL5,Elymus elymoides,Squirreltail
11150_13,PLJA,Pleuraphis jamesii,James' galleta
11150_14,JUOS,Juniperus osteosperma,Utah juniper
11150_14,ARNO4,Artemisia nova,Black sagebrush
11150_14,HECO26,Hesperostipa comata,Needle and thread
11150_14,ACHY,Achnatherum hymenoides,Indian ricegrass
11150_14,ELEL5,Elymus elymoides,Squirreltail
11150_14,PLJA,Pleuraphis jamesii,James' galleta
11150_15_16_23_24,JUOS,Juniperus osteosperma,Utah juniper
11150_15_16_23_24,JUOC,Juniperus occidentalis,Western juniper
11150_15_16_23_24,BOGR2,Bouteloua gracilis,Blue grama
11150_17,JUOS,Juniperus osteosperma,Utah juniper
11150_17,ARNO4,Artemisia nova,Black sagebrush
11150_17,HECO26,Hesperostipa comata,Needle and thread
11150_17,ACHY,Achnatherum hymenoides,Indian ricegrass
11150_17,ELEL5,Elymus elymoides,Squirreltail
11150_17,PLJA,Pleuraphis jamesii,James' galleta
11150_21_22,JUOS,Juniperus osteosperma,Utah juniper
11150_21_22,JUOC,Juniperus occidentalis,Western juniper
11150_21_22,BOGR2,Bouteloua gracilis,Blue grama
11150_28,JUOS,Juniperus osteosperma,Utah juniper
11150_28,JUOC,Juniperus occidentalis,Western juniper
11150_28,BOGR2,Bouteloua gracilis,Blue grama
11160_15_25,JUDE,Juncus debilis,Weak rush
11160_15_25,PIED,Pinus edulis,Twoneedle pinyon
11160_15_25,PIDI3,Pinus discolor,Border pinyon
11160_15_25,QUAR,Quercus arizonica,Arizona white oak
11160_15_25,QUEM,Quercus emoryi,Emory oak
11160_15_25,QUGR3,Quercus grisea,Gray oak
11160_15_25,QUOB,Quercus oblongifolia,Mexican blue oak
11160_15_25,PILE,Pinus leiophylla,Chihuahuan pine
11160_24,JUDE,Juncus debilis,Weak rush
11160_24,PIED,Pinus edulis,Twoneedle pinyon
11160_24,PIDI3,Pinus discolor,Border pinyon
11160_24,QUAR,Quercus arizonica,Arizona white oak
11160_24,QUEM,Quercus emoryi,Emory oak
11160_24,QUGR3,Quercus grisea,Gray oak
11160_24,QUOB,Quercus oblongifolia,Mexican blue oak
11160_24,QUMO,Quercus mohriana,Mohr oak
11160_26,JUDE,Juncus debilis,Weak rush
11160_26,PIED,Pinus edulis,Twoneedle pinyon
11160_26,PICE,Pinus cembroides,Mexican pinyon
11160_26,QUAR,Quercus arizonica,Arizona white oak
11160_26,QUEM,Quercus emoryi,Emory oak
11160_26,QUGR3,Quercus grisea,Gray oak
11160_26,QUOB,Quercus oblongifolia,Mexican blue oak
11160_26,PILE,Pinus leiophylla,Chihuahuan pine
11170_13_15_28,PIPO,Pinus ponderosa,Ponderosa pine
11170_13_15_28,FEAR2,Festuca arizonica,Arizona fescue
11170_13_15_28,MUMO,Muhlenbergia montana,Mountain muhly
11170_16_23_24,PIPO,Pinus ponderosa,Ponderosa pine
11170_16_23_24,FEID,Festuca idahoensis,Idaho fescue
11170_16_23_24,PSSP6,Pseudoroegneria spicata,Bluebunch wheatgrass
11170_16_23_24,FEAR2,Festuca arizonica,Arizona fescue
11170_16_23_24,PSEUD7,Pseudotsuga,Douglas-fir
11170_16_23_24,ABCO,Abies concolor,White fir
11170_20,PIPO,Pinus ponderosa,Ponderosa pine
11170_20,FEID,Festuca idahoensis,Idaho fescue
11170_20,PSSP6,Pseudoroegneria spicata,Bluebunch wheatgrass
11170_20,AGROP2,Agropyron,Wheatgrass
11170_20,SCSC,Schizachyrium scoparium,Little bluestem
11170_29,PIPO,Pinus ponderosa,Ponderosa pine
11170_29,JUSC2,Juniperus scopulorum,Rocky mountain juniper
11170_29,RHAR4,Rhus aromatica,Fragrant sumac
11170_29,PSSP6,Pseudoroegneria spicata,Bluebunch wheatgrass
11170_29,PASM,Pascopyrum smithii,Western wheatgrass
11170_29,CAREX,Carex,Sedge
11170_29,SCSC,Schizachyrium scoparium,Little bluestem
11170_29,QUMA2,Quercus macrocarpa,Bur oak
11170_33,PIPO,Pinus ponderosa,Ponderosa pine
11170_33,ACHNA,Achnatherum,Needlegrass
11170_33,FEAR2,Festuca arizonica,Arizona fescue
11170_33,QUGA,Quercus gambelii,Gambel oak
11170_33,MUMO,Muhlenbergia montana,Mountain muhly
11170_33,CEMO2,Cercocarpus montanus,Alderleaf mountain mahogany
11171_27,PIPO,Pinus ponderosa,Ponderosa pine
11171_27,NAVI4,Nassella viridula,Green needlegrass
11171_27,FEAR2,Festuca arizonica,Arizona fescue
11171_27,QUGA,Quercus gambelii,Gambel oak
11171_27,MUMO,Muhlenbergia montana,Mountain muhly
11171_27,CEMO2,Cercocarpus montanus,Alderleaf mountain mahogany
11171_27,BOCU,Bouteloua curtipendula,Sideoats grama
11171_27,SCSC,Schizachyrium scoparium,Little bluestem
11172_27,PIPO,Pinus ponderosa,Ponderosa pine
11172_27,ACHNA,Achnatherum,Needlegrass
11172_27,FEAR2,Festuca arizonica,Arizona fescue
11172_27,QUGA,Quercus gambelii,Gambel oak
11172_27,MUMO,Muhlenbergia montana,Mountain muhly
11172_27,CEMO2,Cercocarpus montanus,Alderleaf mountain mahogany
11180_4,QUAG,Quercus agrifolia,California live oak
11180_4,QUEN,Quercus engelmannii,Engelmann oak
11180_4,JUCA,Juglans californica,Southern california  walnut
11180_4,ARCA11,Artemisia californica,Coastal sagebrush
11180_4,ERFA2,Eriogonum fasciculatum,Eastern mojave buckwheat
11180_4,TODI,Toxicodendron diversilobum,Pacific poison oak
11180_4,RHIL,Rhamnus ilicifolia,Hollyleaf redberry
11180_4,HEAR5,Heteromeles arbutifolia,Toyon
11190_24_25,PIED,Pinus edulis,Twoneedle pinyon
11190_24_25,JUMO,Juniperus monosperma,Oneseed juniper
11190_24_25,JUSC2,Juniperus scopulorum,Rocky mountain juniper
11190_24_25,BOGR2,Bouteloua gracilis,Blue grama
11190_24_25,PLJA,Pleuraphis jamesii,James' galleta
11190_24_25,YUCCA,Yucca,Yucca
11190_26,JUDE,Juncus debilis,Weak rush
11190_26,JUMO,Juniperus monosperma,Oneseed juniper
11190_26,JUSC,Juncus scirpoides,Needlepod rush
11190_26,PIED,Pinus edulis,Twoneedle pinyon
11190_26,PICE,Pinus cembroides,Mexican pinyon
11190_26,QUGA,Quercus gambelii,Gambel oak
11190_26,PIFI,Piptochaetium fimbriatum,Pinyon ricegrass
11190_26,BOGR2,Bouteloua gracilis,Blue grama
11190_27,PIED,Pinus edulis,Twoneedle pinyon
11190_27,JUMO,Juniperus monosperma,Oneseed juniper
11190_27,JUSC2,Juniperus scopulorum,Rocky mountain juniper
11190_27,BOGR2,Bouteloua gracilis,Blue grama
11190_27,PLJA,Pleuraphis jamesii,James' galleta
11190_27,YUCCA,Yucca,Yucca
11190_28,PIED,Pinus edulis,Twoneedle pinyon
11190_28,JUMO,Juniperus monosperma,Oneseed juniper
11190_28,JUSC2,Juniperus scopulorum,Rocky mountain juniper
11190_28,BOGR2,Bouteloua gracilis,Blue grama
11190_28,PLJA,Pleuraphis jamesii,James' galleta
11190_28,YUCCA,Yucca,Yucca
11190_34,JUPI,Juniperus pinchotii,Pinchot's juniper
11190_34,JUMO,Juniperus monosperma,Oneseed juniper
11190_34,PRGL2,Prosopis glandulosa,Honey mesquite
11190_34,RHAR4,Rhus aromatica,Fragrant sumac
11190_34,BOCU,Bouteloua curtipendula,Sideoats grama
11190_34,BOGR2,Bouteloua gracilis,Blue grama
11190_34,SCSC,Schizachyrium scoparium,Little bluestem
11200_1_2_7,QUGA4,Quercus garryana,Oregon white oak
11200_1_2_7,FERO,Festuca roemeri,Roemer's fescue
11200_1_2_7,DACA3,Danthonia californica,California oatgrass
11210_14,BOUTE,Bouteloua,Grama
11210_14,LATR2,Larrea tridentata,Creosote bush
11210_14,MUPO2,Muhlenbergia porteri,Bush muhly
11210_14,PLMU3,Pleuraphis mutica,tobosagrass
11210_14,ARIST,Aristida,Threeawn
11210_14,ISTE2,Isocoma tenuisecta,Burroweed
11210_14,ACACI,Acacia,Acacia
11210_14,OPUNT,Opuntia,Pricklypear
11210_15,BOUTE,Bouteloua,Grama
11210_15,LATR2,Larrea tridentata,Creosote bush
11210_15,MUPO2,Muhlenbergia porteri,Bush muhly
11210_15,PLMU3,Pleuraphis mutica,Tobosagrass
11210_15,ARIST,Aristida,Threeawn
11210_15,ISTE2,Isocoma tenuisecta,Burroweed
11210_15,ACACI,Acacia,Acacia
11210_15,OPUNT,Opuntia,Pricklypear
11210_24,BOER4,Bouteloua eriopoda,Black grama
11210_24,BOCU,Bouteloua curtipendula,Sideoats grama
11210_24,BOGR2,Bouteloua gracilis,Blue grama
11210_24,ARIST,Aristida,Threeawn
11210_24,GUSA2,Gutierrezia sarothrae,Broom snakeweed
11210_24,ISTE2,Isocoma tenuisecta,Burroweed
11210_24,CAER,Calliandra eriophylla,Fairyduster
11210_24,ACACI,Acacia,Acacia
11210_25,BOER4,Bouteloua eriopoda,Black grama
11210_25,PLMU3,Pleuraphis mutica,Tobosagrass
11210_25,MUPO2,Muhlenbergia porteri,Bush muhly
11210_25,SPAI,Sporobolus airoides,Alkali sacaton
11210_25,BOGR2,Bouteloua gracilis,Blue grama
11210_25,LATR2,Larrea tridentata,Creosote bush
11210_25,PRGL2,Prosopis glandulosa,Honey mesquite
11210_25,RHUS,Rhus,Sumac
11210_26,BOER4,Bouteloua eriopoda,Black grama
11210_26,BOGR2,Bouteloua gracilis,Blue grama
11210_26,BOCU,Bouteloua curtipendula,Sideoats grama
11210_26,BORA4,Bouteloua ramosa,Chino grama
11210_26,MUPO2,Muhlenbergia porteri,Bush muhly
11210_26,LATR2,Larrea tridentata,Creosote bush
11210_26,DALE2,Dasylirion leiophyllum,Green sotol
11210_27,BOER4,Bouteloua eriopoda,Black grama
11210_27,BOGR2,Bouteloua gracilis,Blue grama
11210_27,BOCU,Bouteloua curtipendula,Sideoats grama
11210_27,BORA4,Bouteloua ramosa,Chino grama
11210_27,MUPO2,Muhlenbergia porteri,Bush muhly
11210_27,LATR2,Larrea tridentata,Creosote bush
11210_27,DALE2,Dasylirion leiophyllum,Green sotol
11220_25,BOER4,Bouteloua eriopoda,Black grama
11220_25,SPAI,Sporobolus airoides,Alkali sacaton
11220_25,BOBR,Bouteloua breviseta,Gypsum grama
11220_25,ATCA2,Atriplex canescens,Fourwing saltbush
11220_25,SPNE,Sporobolus nealleyi,Gyp dropseed
11220_25,ATOB,Atriplex obovata,Mound saltbush
11220_25,FOSP2,Fouquieria splendens,Ocotillo
11220_26,BOER4,Bouteloua eriopoda,Black grama
11220_26,SPAI,Sporobolus airoides,Alkali sacaton
11220_26,BOBR,Bouteloua breviseta,Gypsum grama
11220_26,ATCA2,Atriplex canescens,Fourwing saltbush
11220_26,SPNE,Sporobolus nealleyi,Gyp dropseed
11220_26,ATOB,Atriplex obovata,Mound saltbush
11220_26,FOSP2,Fouquieria splendens,Ocotillo
11220_27,BOBR,Bouteloua breviseta,Gypsum grama
11220_27,MUPU2,Muhlenbergia pungens,Sandhill muhly
11220_27,SPNE,Sporobolus nealleyi,Gyp dropseed
11220_27,EPTO,Ephedra torreyana,Torrey's jointfir
11220_27,ATCA2,Atriplex canescens,Fourwing saltbush
11230_1_7_8_9,PSSP6,Pseudoroegneria spicata,Bluebunch wheatgrass
11230_1_7_8_9,POSE,Poa secunda,Sandberg bluegrass
11230_1_7_8_9,ACTH7,Achnatherum thurberianum,Thurber's needlegrass
11230_1_7_8_9,FEID,Festuca idahoensis,Idaho fescue
11230_10_18,LETR5,Leymus triticoides,Beardless wildrye
11230_10_18,MURI,Muhlenbergia richardsonis,Mat muhly
11230_10_18,ARCAV2,Artemisia cana ssp. viscidula,Silver sagebrush
11230_10_18,ELTR7,Elymus trachycaulus,Slender wheatgrass
11240_1_7_8_9,ARAR8,Artemisia arbuscula,Little sagebrush
11240_1_7_8_9,ARNO4,Artemisia nova,Black sagebrush
11240_1_7_8_9,ARPY2,Artemisia pygmaea,Pygmy sagebrush
11240_1_7_8_9,POSE,Poa secunda,Sandberg bluegrass
11240_1_7_8_9,PSSP6,Pseudoroegneria spicata,Bluebunch wheatgrass
11240_1_7_8_9,,,
11240_1_7_8_9,,,
11240_1_7_8_9,,,
11240_10_12_17_18_19_21,ARAR8,Artemisia arbuscula,Little sagebrush
11240_10_12_17_18_19_21,ARARL,Artemisia arbuscula ssp. longiloba,Little sagebrush
11240_10_12_17_18_19_21,ACTH7,Achnatherum thurberianum,Thurber's needlegrass
11240_10_12_17_18_19_21,PSSP6,Pseudoroegneria spicata,Bluebunch wheatgrass
11240_10_12_17_18_19_21,FEID,Festuca idahoensis,Idaho fescue
11240_10_12_17_18_19_21,CHVI8,Chrysothamnus viscidiflorus,Yellow rabbitbrush
11250_1_7_8_9_10_19,ARTRW8,Artemisia tridentata ssp. wyomingensis,Wyoming big sagebrush
11250_1_7_8_9_10_19,ARTRT,Artemisia tridentata ssp. tridentata,Basin big sagebrush
11250_1_7_8_9_10_19,PUTR2,Purshia tridentata,Antelope bitterbrush
11250_1_7_8_9_10_19,PSSP6,Pseudoroegneria spicata,Bluebunch wheatgrass
11250_1_7_8_9_10_19,ACTH7,Achnatherum thurberianum,Thurber's needlegrass
11250_1_7_8_9_10_19,POSE,Poa secunda,Sandberg bluegrass
11250_1_7_8_9_10_19,HECO26,Hesperostipa comata,Needle and thread
11250_1_7_8_9_10_19,ELTR7,Elymus trachycaulus,Slender wheatgrass
11250_20_29_30_31_33,ARTRW8,Artemisia tridentata ssp. wyomingensis,Wyoming big sagebrush
11250_20_29_30_31_33,PASM,Pascopyrum smithii,Western wheatgrass
11250_20_29_30_31_33,BOGR2,Bouteloua gracilis,Blue grama
11250_20_29_30_31_33,CHRYS9,Chrysothamnus,Rabbitbrush
11250_20_29_30_31_33,PSSP6,Pseudoroegneria spicata,Bluebunch wheatgrass
