"bps_model_id","severity","avg_fi","percent_of_all_fires","min_fi","max_fi"
"16400_73_76_80","Moderate (Mixed)","","","",""
"16400_73_76_80","Low (Surface)","","","",""
"16400_73_76_80","All Fires","","","",""
"16430_73_74_75_76_77_78","Replacement","","","",""
"16430_73_74_75_76_77_78","Moderate (Mixed)","","","",""
"16430_73_74_75_76_77_78","Low (Surface)","","","",""
"16430_73_74_75_76_77_78","All Fires","","","",""
"16441_73_75_76_77_78_80","Replacement","","","",""
"16441_73_75_76_77_78_80","Moderate (Mixed)","","","",""
"16441_73_75_76_77_78_80","Low (Surface)","","","",""
"16441_73_75_76_77_78_80","All Fires","","","",""
"16442_77_78","Replacement","","","",""
"16442_77_78","Moderate (Mixed)","","","",""
"16442_77_78","Low (Surface)","","","",""
"16442_77_78","All Fires","","","",""
"16443_73_77_78","Replacement","","","",""
"16443_73_77_78","Moderate (Mixed)","","","",""
"16443_73_77_78","Low (Surface)","","","",""
"16443_73_77_78","All Fires","","","",""
"16450_73_74_75_76_77_78_80","Replacement","","","",""
"16450_73_74_75_76_77_78_80","Moderate (Mixed)","","","",""
"16450_73_74_75_76_77_78_80","Low (Surface)","","","",""
"16450_73_74_75_76_77_78_80","All Fires","","","",""
"16460_75_77_78","Replacement","","","",""
"16460_75_77_78","Moderate (Mixed)","","","",""
"16460_75_77_78","Low (Surface)","","","",""
"16460_75_77_78","All Fires","","","",""
"16470_73_74_75_76_77_78_80","Replacement","","","",""
"16470_73_74_75_76_77_78_80","Moderate (Mixed)","","","",""
"16470_73_74_75_76_77_78_80","Low (Surface)","","","",""
"16470_73_74_75_76_77_78_80","All Fires","","","",""
"16481_75_77","Replacement","1284","80","",""
"16481_75_77","Moderate (Mixed)","5198","20","",""
"16481_75_77","Low (Surface)","","","",""
"16481_75_77","All Fires","1029","100","",""
"16482_78","Replacement","","","",""
"16482_78","Moderate (Mixed)","","","",""
"16482_78","Low (Surface)","","","",""
"16482_78","All Fires","","","",""
"16510_72_76_80","Replacement","","","",""
"16510_72_76_80","Moderate (Mixed)","","","",""
"16510_72_76_80","Low (Surface)","","","",""
"16510_72_76_80","All Fires","","","",""
"16520_73_74_75_76_77_78_80","Replacement","","","",""
"16520_73_74_75_76_77_78_80","Moderate (Mixed)","","","",""
"16520_73_74_75_76_77_78_80","Low (Surface)","","","",""
"16520_73_74_75_76_77_78_80","All Fires","","","",""
"16530_75_77_78","Replacement","","","",""
"16530_75_77_78","Moderate (Mixed)","","","",""
"16530_75_77_78","Low (Surface)","","","",""
"16530_75_77_78","All Fires","","","",""
"16550_75_76_77_78_80","Replacement","","","",""
"16550_75_76_77_78_80","Moderate (Mixed)","","","",""
"16550_75_76_77_78_80","Low (Surface)","","","",""
"16550_75_76_77_78_80","All Fires","","","",""
"16560_75_76_77_78","Replacement","","","",""
"16560_75_76_77_78","Moderate (Mixed)","","","",""
"16560_75_76_77_78","Low (Surface)","","","",""
"16560_75_76_77_78","All Fires","","","",""
"16570_75_77_78","Replacement","","","",""
"16570_75_77_78","Moderate (Mixed)","","","",""
"16570_75_77_78","Low (Surface)","","","",""
"16570_75_77_78","All Fires","","","",""
"16610_73_74_75_76_77_78_80","Replacement","","","",""
"16610_73_74_75_76_77_78_80","Moderate (Mixed)","","","",""
"16610_73_74_75_76_77_78_80","Low (Surface)","","","",""
"16610_73_74_75_76_77_78_80","All Fires","","","",""
"16620_73_75_77_78","Replacement","","","",""
"16620_73_75_77_78","Moderate (Mixed)","","","",""
"16620_73_75_77_78","Low (Surface)","","","",""
