"BPS_MODEL","Symbol","Scientific.Name","Common.Name"
"16141_68_69_70_71_72_73_74_76_78","EQUIS","Equisetum spp.","Horsetail"
"16142_73_74_75_76_77_78","POBAB2","Populus balsamifera ssp. trichocarpa","Black cottonwood"
"16142_73_74_75_76_77_78","PIGL","Picea glauca","White spruce"
"16142_73_74_75_76_77_78","ALNUS","Alnus spp.","Alder"
"16142_73_74_75_76_77_78","SALIX","Salix spp.","Willow"
"16142_73_74_75_76_77_78","EQUIS","Equisetum spp.","Horsetail"
"16142_73_74_75_76_77_78","ROAC","Rosa acicularis","Prickly rose"
"16142_73_74_75_76_77_78","VIED","Viburnum edule","Squashberry"
"16142_73_74_75_76_77_78","SHCA","Shepherdia canadensis","Russet buffaloberry"
"16150_68_69_70_71_72_73_74_75_76_77_80","PIGL","Picea glauca","White spruce"
"16150_68_69_70_71_72_73_74_75_76_77_80","POBAB2","Populus balsamifera ssp. balsamifera","Balsam poplar"
"16150_68_69_70_71_72_73_74_75_76_77_80","SALIX","Salix spp.","Willow"
"16150_68_69_70_71_72_73_74_75_76_77_80","ALNUS","Alnus spp.","Alder"
"16150_68_69_70_71_72_73_74_75_76_77_80","ROAC","Rosa acicularis","Prickly rose"
"16150_68_69_70_71_72_73_74_75_76_77_80","VIED","Viburnum edule","Squashberry"
"16150_68_69_70_71_72_73_74_75_76_77_80","LUPIN","Lupinus spp.","Lupine"
"16150_68_69_70_71_72_73_74_75_76_77_80","EQUIS","Equisetum spp.","Horsetail"
"16160_70_71_72_73_74_75_76_77_78_80","PIGL","Picea glauca","White spruce"
"16160_70_71_72_73_74_75_76_77_78_80","BEPA","Betula neoalaskana","Alaska paper birch"
"16160_70_71_72_73_74_75_76_77_78_80","PIMA","Picea mariana","Black spruce"
"16160_70_71_72_73_74_75_76_77_78_80","POBA2","Populus balsamifera","Balsam poplar"
"16160_70_71_72_73_74_75_76_77_78_80","POTR5","Populus tremuloides","Quaking aspen"
"16160_70_71_72_73_74_75_76_77_78_80","SALIX","Salix spp.","Willow"
"16160_70_71_72_73_74_75_76_77_78_80","ALNUS","Alnus spp.","Alder"
"16180_68_70_71_72_73_74_75_76_77_78","MYGA","Myrica gale","Sweetgale"
"16180_68_70_71_72_73_74_75_76_77_78","BENA","Betula nana","Dwarf birch"
"16180_68_70_71_72_73_74_75_76_77_78","CHCA2","Chamaedaphne calyculata","Leatherleaf"
"16180_68_70_71_72_73_74_75_76_77_78","SAPU15","Salix pulchra","Tealeaf willow"
"16180_68_70_71_72_73_74_75_76_77_78","COPA28","Comarum palustre","Purple marshlocks"
"16180_68_70_71_72_73_74_75_76_77_78","METR3","Menyanthes trifoliata","Buckbean"
"16180_68_70_71_72_73_74_75_76_77_78","EQFL","Equisetum fluviatile","Water horsetail"
"16180_68_70_71_72_73_74_75_76_77_78","CACA4","Calamagrostis canadensis","Bluejoint"
"16200_68_69_70_71_72_73_74_75_76_77_78","VAOX","Vaccinium oxycoccos","small cranberry"
"16200_68_69_70_71_72_73_74_75_76_77_78","ANPO","Andromeda polifolia","bog rosemary"
"16200_68_69_70_71_72_73_74_75_76_77_78","SALIX","Salix spp.","Willow"
"16200_68_69_70_71_72_73_74_75_76_77_78","BENA","Betula nana","Dwarf birch"
"16200_68_69_70_71_72_73_74_75_76_77_78","LEGR","Ledum groenlandicum","Bog labrador tea"
"16200_68_69_70_71_72_73_74_75_76_77_78","MYGA","Myrica gale","Sweetgale"
"16200_68_69_70_71_72_73_74_75_76_77_78","CAAQ","Carex aquatilis","Water sedge"
"16200_68_69_70_71_72_73_74_75_76_77_78","SPHAG2","Sphagnum spp.","Sphagnum"
"16210_68_69_70_71_72_73_74_75_76_77","PIMA","Picea mariana","Black spruce"
"16210_68_69_70_71_72_73_74_75_76_77","SALIX","Salix spp.","Willow"
"16210_68_69_70_71_72_73_74_75_76_77","BENA","Betula nana","Dwarf birch"
"16210_68_69_70_71_72_73_74_75_76_77","LEGR","Ledum groenlandicum","Bog labrador tea"
"16210_68_69_70_71_72_73_74_75_76_77","MYGA","Myrica gale","Sweetgale"
"16210_68_69_70_71_72_73_74_75_76_77","RUCH","Rubus chamaemorus","Cloudberry"
"16210_68_69_70_71_72_73_74_75_76_77","VAOX","Vaccinium oxycoccos","small cranberry"
"16210_68_69_70_71_72_73_74_75_76_77","CAPL6","Carex pluriflora","Manyflower sedge"
"16210_68_69_70_71_72_73_74_75_76_77","SPHAG2","Sphagnum spp.","Sphagnum"
"16230_70_71_72_73_74","LALA","Larix laricina","Tamarack"
"16230_70_71_72_73_74","EMNI","Empetrum nigrum","Crowberry"
"16230_70_71_72_73_74","BENA","Betula nana","Dwarf birch"
"16230_70_71_72_73_74","ERAN6","Eriophorum angustifolium","Common Cottongrass"
"16230_70_71_72_73_74","LEGR","Ledum groenlandicum","Labrador tea"
"16230_70_71_72_73_74","VAUL","Vaccinium uliginosum","Bog blueberry"
"16230_70_71_72_73_74","VAVI","Vaccinium vitis-idaea","Lingonberry"
